,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,129.9874868,18609.626,18609.626,486.49844,2258662.6,19230.332,1122.0863,13.57259751,60.19023641,163.5872815,49.30831163,53.93893214,29.7806899,8.865012621,9.225940439,61.61677553,17.53312394,3.680502864,13.6081295,147.5872815,0.201783579,0.88478915,0.489075818,9.607013996,0.829909608,0.758662435,0.599693773,0.395921294,0.503619097,0.217531196,0.293680392,0.264607577
1,243.6123525,26704.543,370.03384,499.69766,9881584.7,1.6029622,809.84738,110.6602415,101.7891764,166.1625063,94.01626004,97.7870948,6.608701448,1.296621577,2.27957374,4.561910865,4.030251345,37.65032177,24.42350448,150.1625063,0.04401033,0.229137523,0.290933622,22.29186938,0.802809002,0.771851338,0.389358817,0.571460556,0.496096821,0.39639719,0.523204854,0.347932489
2,277.9714082,29874.847,410.03745,499.61625,12249806,9.5774877,734.23285,127.7692783,103.2229246,180.1837569,93.50725823,102.1398112,6.783151574,1.807404595,2.53422091,4.500194365,4.530355943,39.96626094,27.16246424,164.1837569,0.041314389,0.188254213,0.344202493,22.43285159,0.734894368,0.672783282,0.531129888,0.607409888,0.498324237,0.38492073,0.494918752,0.359166133
3,187.7691395,28355.949,251.56616,499.62632,7133397.2,0.34812099,1043.985,84.07029814,86.83277739,183.9597711,71.45976489,67.62476696,9.319151227,2.381597146,2.906616934,12.21531104,9.044165625,25.63614894,28.12073968,167.9597711,0.055484424,0.470058184,0.452644742,14.1035847,0.720296926,0.761144937,0.517152263,0.520358183,0.505833259,0.40061061,0.360901291,0.390528032
4,304.3750399,28894.272,462.51322,499.64782,13363983,17.314281,682.47014,135.874563,115.0234906,176.9593305,104.5550559,109.4664347,5.433100566,1.099940004,2.018616486,3.014080989,3.096382731,46.37058952,34.64763388,160.9593305,0.033754493,0.126355965,0.260423848,32.62591384,0.71928654,0.687014651,0.377735704,0.609487634,0.464038965,0.390405313,0.583291819,0.449952673
5,217.6221401,30339.222,300.91638,499.68696,9129568.9,1.8277703,916.67567,92.09298925,99.45340607,186.4036919,77.92129813,77.69867686,8.649493423,2.005432838,2.536842293,8.96531774,8.200530342,35.70451372,32.90428785,170.4036919,0.050758838,0.430660903,0.385157189,18.71532793,0.714069596,0.71611554,0.431606811,0.538987317,0.462808466,0.455842962,0.478976793,0.419248095
6,209.8305164,29526.894,293.96998,499.67928,8680020.5,1.4329213,945.69647,96.21265945,94.55455723,184.1286263,72.26931934,83.64253994,6.772032908,1.932782895,2.104077947,5.786542047,5.648631364,30.76082364,29.47956917,168.1286263,0.040278881,0.403726508,0.414002519,17.4051975,0.797239042,0.688835166,0.490019946,0.489184544,0.417561258,0.364859162,0.407548376,0.382642073
7,164.3129471,25366.079,215.57262,499.69677,5468232.3,6.31E-07,1174.6864,76.26303646,78.64757993,174.0089609,65.1435972,66.71015058,9.107567191,2.655181952,3.116328792,8.973272819,7.817167473,25.7428888,24.3399086,158.0089609,0.057639561,0.487828592,0.471814347,7.017787262,0.811988973,0.792921049,0.47310187,0.515861463,0.383777944,0.336703351,0.40049939,0.367891804
8,228.7113675,34160.514,309.64349,499.69373,10577581,9.8615401,891.07387,110.0836807,107.2726291,205.8877078,81.24469649,58.70752771,6.601325105,1.417600282,3.749033487,13.46550122,2.803513952,6.43093098,33.78078717,189.8877078,0.034764362,0.399389747,0.414726684,8.544006134,0.513376561,0.71045613,0.758588693,0.69618889,0.716915361,0.184242435,0.06755639,0.385485652
9,239.0227819,34220.92,327.96131,499.69095,11223138,7.9709128,855.15851,109.3908061,109.7080437,202.395613,76.26187334,74.90548629,6.744169989,1.728058067,1.754116152,6.943576611,6.245458625,39.37819241,35.83691761,186.395613,0.036182021,0.391094198,0.389328347,19.60669446,0.626764409,0.638113846,0.462410306,0.438775204,0.445881923,0.407227889,0.440420201,0.401584149
