,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,326.8579901,23549.509,503.35337,499.63838,11853725,26.689943,616.87383,114.3899029,117.5194732,156.4261523,119.0087375,114.1649264,3.740879422,0.240691475,0.673689857,1.920166719,2.285298789,26.99137242,18.44265038,140.4261523,0.026639478,0.163114647,0.140218469,91.81904376,0.698559802,0.728198429,0.11146064,0.37548795,0.422747976,0.52038772,0.398544209,0.272071621
1,332.6851697,34856.061,446.78867,499.61045,15573293,58.68097,669.62074,127.5703351,158.4048587,201.0454297,105.2493894,95.2803389,4.753337206,0.322523694,0.093237557,4.168279815,4.659450838,34.19472978,54.40558291,185.0454297,0.025687407,0.292424125,0.121398745,15.87545217,0.57279583,0.632726668,0.140475943,0.096803553,0.516984524,0.797371297,0.369779644,0.574744535
2,126.0358985,16868.635,129.70645,499.68345,2187970.8,3.65E-06,1489.0717,58.50219292,49.44901644,131.6653879,57.75949609,54.58230911,21.52655468,3.145742406,4.705313282,26.91494854,15.7909531,11.41334635,6.965969161,115.6653879,0.186110599,0.37855409,0.474722442,9.031512695,0.866139088,0.916556263,0.452260206,0.34149259,0.676882668,0.359922246,0.258990932,0.179840191
3,250.9153596,26171.55,295.73664,499.64357,7739886,2.64E-07,859.84705,96.44334104,115.3744526,172.0508247,119.0729005,24.44958491,16.32710911,4.186809035,0.791609594,5.092437716,13.76897176,32.22330168,38.53431407,156.0508247,0.104626868,0.309756825,0.174267216,20.16645438,0.194883127,0.949108103,0.279341117,0.155558453,0.082007796,0.688320571,0.365828656,0.56031881
4,284.7492148,20951.456,384.48918,499.64485,8055608,115.0837,797.25411,137.8883686,119.5269582,168.1287597,56.0389092,121.9151253,3.684614312,0.210933921,1.280648687,1.251761809,1.589360831,3.015722792,17.93423894,152.1287597,0.024220366,0.071109418,0.194801803,8.972477652,0.856298237,0.393601852,0.083157783,0.471474144,0.311583154,0.262808883,0.040331329,0.210344085
5,320.5348637,40854.859,375.82957,499.6666,15354464,3.25E-06,696.80448,147.5836362,146.8721626,220.8036249,74.07552508,87.19790871,5.299887346,1.080067032,1.094331511,5.048983357,5.30388982,44.74555608,49.83090481,204.8036249,0.025877898,0.260246259,0.263812476,25.36759127,0.544077532,0.462199489,0.444479062,0.42713797,0.541506942,0.516591717,0.411207034,0.441669647
6,152.619154,21700.549,155.50608,499.6373,3374567.3,2.91E-07,1099.0311,61.64770591,30.79393865,164.6375513,45.36902118,68.10808823,35.58241211,3.667591964,17.26882741,61.29617039,53.11396276,25.81350258,12.63379856,148.6375513,0.239390462,0.454711158,0.727620178,29.32374215,0.892523467,0.594539021,0.726046292,0.788292432,0.858034991,0.384341179,0.537579438,0.447819718
7,306.7354832,26098.608,456.00307,499.64227,11901045,68.68264,712.39418,142.5934788,142.4323762,177.151346,121.7188536,91.78977535,4.037030648,1.837615591,0.198261563,1.411989744,1.795047951,53.26548719,40.76301459,161.151346,0.025051175,0.09242211,0.093447495,21.54852549,0.598494667,0.793640516,0.649138289,0.081072226,0.298778225,0.394234712,0.64906166,0.512624882
8,306.5193835,22984.469,442.81683,499.63131,10177910,8.6064787,644.58401,92.45102753,103.0415829,145.501379,117.4937593,112.3188898,7.602140893,1.269721703,2.159388309,7.184062531,3.57595261,18.04438535,32.79913998,129.501379,0.058703166,0.241578299,0.154698712,100.4362176,0.732866473,0.766631839,0.616726033,0.474136455,0.729180241,0.400910809,0.314496438,0.552084178
9,286.0863394,38667.799,366.2228,499.68845,14161029,39.700785,758.79993,132.3393311,129.5090223,215.0326566,75.1686199,79.86607739,6.094810496,1.148823283,1.394216351,6.077674877,6.427631009,37.36134666,43.16599151,199.0326566,0.030622163,0.31408309,0.328752627,21.4076771,0.558335484,0.525496045,0.373342439,0.448537013,0.495122913,0.489998236,0.362015958,0.417294755
10,175.815327,25601.852,239.7836,499.64464,6138904.3,0.15323718,1108.021,83.31435272,83.30413995,170.4152945,75.24776994,70.00825674,6.666700963,0.83402374,2.29397975,9.22017168,5.567426613,20.83255807,24.67794021,154.4152945,0.043173838,0.436107304,0.436176427,9.186621539,0.796384001,0.855986463,0.318109865,0.558871964,0.606730468,0.384304072,0.307169628,0.369672723
11,262.8383103,38296.565,325.57317,499.6576,12468334,0.00015399,806.34143,110.0336098,116.168958,214.5239022,65.25892141,67.96961182,10.10806593,2.021953367,2.521447839,13.54427769,13.03547221,33.06248179,52.72859717,198.5239022,0.050916115,0.416006574,0.383443768,30.50039429,0.517197145,0.496570849,0.400113938,0.495142647,0.500058269,0.496207627,0.352554835,0.536781481
12,341.1304386,27629.15,492.15436,499.62611,13597807,41.826702,620.21533,126.4860967,130.440909,174.6249562,112.9283866,110.9350026,5.191485061,0.760381643,1.132265345,4.133702957,3.337448917,25.33575299,33.97062751,158.6249562,0.032728047,0.175629048,0.149853627,80.24862063,0.650396388,0.66208332,0.391606762,0.459322383,0.6259843,0.525169074,0.327001739,0.43718868
13,142.9235304,20635.518,166.94071,499.62888,3444907.9,1.08E-05,1341.9251,66.45712969,64.53790949,151.0999131,63.52988337,58.29473977,17.80338653,1.967481291,5.582096442,26.2843182,16.31689725,17.80247836,17.1379026,135.0999131,0.131779408,0.433426278,0.449788401,10.00927104,0.815747269,0.889005235,0.336298235,0.550284311,0.671388012,0.430219498,0.332950081,0.333646601
14,345.9036826,31401.09,468.44953,499.66458,14709826,63.434697,635.35439,139.3769587,133.8848079,189.6715783,102.0989646,109.7449666,4.668016761,0.94326745,1.62771718,3.489343651,2.981948713,30.72721123,33.60577727,173.6715783,0.026878415,0.175301648,0.207798897,67.1497651,0.634540609,0.590331759,0.4726405,0.640760486,0.572465163,0.455809672,0.353408738,0.38426815
15,314.1619582,22483.613,494.12121,499.64395,11109630,12.730569,625.02073,106.3070384,110.6915797,147.9322298,117.2572484,117.1949651,4.19691162,0.847679672,0.807976485,3.030551961,2.586516714,19.39641307,27.0049366,131.9322298,0.031811117,0.167755325,0.133430117,92.7787988,0.746079925,0.746476429,0.507521715,0.412406861,0.602032767,0.53318692,0.311062316,0.428247665
16,230.0751144,36071.214,300.21797,499.67607,10829227,12.19033,887.30182,109.4788002,101.5821391,213.3121639,52.80724104,71.82454289,6.828483042,1.66728671,1.080622014,8.959801744,14.36782628,35.92470029,36.37603683,197.3121639,0.034607512,0.4252589,0.466714741,11.117514,0.624357337,0.459043484,0.486325418,0.374820602,0.497935997,0.577792327,0.386666227,0.39473854
17,304.0830276,33692.044,437.39527,499.66898,14736741,35.12432,700.02316,140.0685217,137.967244,199.7703297,96.08436154,94.16954988,5.064047156,0.75470252,1.468339655,4.407482841,3.192259621,25.47590432,29.74046802,183.7703297,0.027556392,0.216208184,0.22796646,23.94598417,0.619367353,0.631961358,0.357952661,0.497708845,0.583655853,0.417422875,0.268366873,0.315801542
18,266.2142953,26552.529,404.47508,499.64365,10739836,4.0175777,739.99476,97.57678921,112.3892604,165.3793748,101.7659267,100.5942707,5.603639773,1.056263963,2.418684495,4.277327805,3.563251598,20.09145059,12.93324851,149.3793748,0.037512808,0.321326445,0.218301611,41.43577445,0.755739061,0.764541413,0.369168503,0.813348277,0.489403759,0.469320318,0.296372413,0.179988124
19,200.5721132,31501.917,262.46376,499.67306,8268111.5,2.26E-05,989.96984,93.37545884,92.8092807,199.3597404,53.90077425,71.60041983,13.83024522,2.94299618,4.242332049,21.3431479,19.39232539,34.08659457,40.11702276,183.3597404,0.075426837,0.449208182,0.452547885,13.82119556,0.713961863,0.537470273,0.547798868,0.551021258,0.611546814,0.443318968,0.435150194,0.48864663
20,306.5813162,38031.5,397.54301,499.6923,15119157,49.65373,722.61406,141.9270504,139.9167624,212.0413757,86.73174004,86.24849642,6.408825755,0.778378702,1.231185388,7.371789169,5.445660875,48.24627768,52.50268109,196.0413757,0.032691189,0.251568096,0.262169061,22.72721543,0.562646788,0.565799254,0.377491114,0.378421372,0.678259489,0.492344223,0.468998423,0.513446325
21,322.304937,27139.54,493.45138,499.66496,13392043,27.620657,640.40835,125.021808,129.6087895,172.9868978,111.6289876,109.3027024,4.46721142,0.53337698,0.889140057,1.150785485,2.890584425,30.03324396,27.77959171,156.9868978,0.028455951,0.180290683,0.150215998,63.08735797,0.678256458,0.692691764,0.149402083,0.421465064,0.200826438,0.527749867,0.389855339,0.359377014
22,157.1405418,22882.692,197.46165,499.61638,4518454.2,0.36524442,1230.2971,72.78024118,68.73924473,159.5026946,68.56288874,63.85820824,11.95570686,1.033591395,3.931929627,19.89923231,11.2726752,18.29882641,19.88492972,143.5026946,0.083313466,0.446735783,0.477454818,11.58005945,0.812752807,0.872631441,0.320474003,0.562136238,0.73023797,0.414955507,0.308870577,0.355725232
23,294.8187696,40789.421,351.24093,499.65994,14326914,1.44E-06,734.29999,135.7343107,136.648288,222.0062859,63.94402424,80.60533572,5.590355143,1.198649379,1.57370192,6.380833811,6.521836894,43.13511669,50.76125382,206.0062859,0.027136818,0.322736919,0.318176517,21.52219351,0.546812782,0.4337853,0.473882717,0.54573377,0.547538223,0.484175166,0.402368324,0.448665269
24,311.4194895,29569.311,445.87208,499.6399,13184130,49.667441,698.9877,136.1145233,131.3364554,181.8410812,119.5059313,92.39688266,5.276843272,0.030259382,0.263223466,6.448969763,6.292910296,46.86679453,49.10435603,165.8410812,0.031818674,0.152273725,0.182031708,39.19044295,0.59339178,0.767491665,0.096857501,0.7798559,0.940795789,0.936035936,0.553914,0.609674624
