,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,377.4083151,21307.515,222.04068,499.67876,4731135.2,80.447527,646.23475,76.23026498,20.37359,159.2469933,83.54906965,118.0671466,59.64713754,5.557563739,6.588608491,53.5172467,79.51744505,20.7414408,7.20303657,143.2469933,0.416393644,0.088153151,0.75629635,224.9477851,0.625673266,0.44275161,0.593363007,0.327752674,0.842972984,0.66297831,0.512705766,0.453631376
1,200.7450588,27739.281,190.24226,499.6299,5277183.7,8.60E-07,882.10212,77.21636074,46.38743614,196.375343,38.48879942,55.87506105,75.4265825,41.93433723,42.62958045,30.20580525,71.82302862,19.23552548,10.62790812,180.375343,0.418164596,0.264247044,0.557999199,46.31233733,0.556676826,0.383459495,0.739622814,0.79035803,0.248316437,0.28490662,0.352342343,0.256298009
2,139.0806865,18897.414,114.99995,499.64526,2173201.5,1.16E-05,870.2658,25.78986685,21.7291261,189.7161187,29.11052942,47.96999353,135.2460387,18.39721107,14.1787459,114.2500307,163.8101581,7.400463995,8.76951551,173.7161187,0.778546284,0.329612342,0.43516816,87.50095282,0.689815311,0.418613542,0.389175297,0.350229313,0.650471839,0.700662744,0.461713164,0.551808901
3,168.6553259,24982.118,160.67054,499.65523,4013890.3,1.18E-06,861.34212,39.95672219,24.23767912,199.0577233,34.17668416,43.48759322,95.73870233,20.64397691,39.17633789,171.1500147,141.3582801,11.8104924,9.023546889,183.0577233,0.52299734,0.542405289,0.722423833,88.74188154,0.515697835,0.405284375,0.70983879,0.653961565,0.696229148,0.37427418,0.350685959,0.405456651
4,218.9974411,27294.139,200.55131,499.59875,5473875.3,2.68E-07,845.87106,65.70992188,44.78255582,196.8785525,70.21339095,29.29079167,104.1379929,19.25851059,8.81304125,69.12289711,118.1025423,26.91981728,9.943909469,180.8785525,0.575734333,0.143739345,0.416442152,87.57759737,0.26749894,0.641225674,0.342026542,0.31327005,0.459303344,0.729854509,0.615608308,0.320251818
5,206.3111764,23894.775,181.16984,499.7018,4329012.6,1.14E-06,897.75258,37.47634417,38.41056732,184.0775574,51.67360995,62.52783208,84.06577241,16.20157135,28.41446243,92.29795029,93.16430172,4.950126593,11.30481067,168.0775574,0.500160603,0.55391563,0.542795486,129.4900418,0.606150701,0.500928848,0.429713494,0.676086988,0.551503623,0.500060261,0.170125731,0.364861204
6,166.0898279,24392.57,158.08881,499.56013,3856192.4,8.18E-06,874.93152,50.85134519,32.44651297,195.5954372,29.90654555,51.0148888,106.5042049,25.29844375,18.78891241,88.16713932,223.4647869,19.65647807,14.91933765,179.5954372,0.593022888,0.304275717,0.55608201,64.3871375,0.614304795,0.360124951,0.518841308,0.566787036,0.542182377,0.688745973,0.562854892,0.52379556
7,264.4591483,31744.685,220.59449,499.74081,7002702.7,1.38E-07,794.30842,64.33324099,51.34740353,206.1551419,59.97249989,33.02455073,106.30954,49.62774599,18.99424345,69.66600129,89.71634807,19.82628939,11.44003807,190.1551419,0.559067396,0.232717763,0.387595743,135.7926663,0.249751623,0.45354831,0.745678731,0.359170342,0.373962201,0.502550163,0.418730777,0.308844081
8,259.0523248,24210.782,256.60884,499.7651,6212700.5,14.012009,789.12859,79.20267941,90.41977103,162.3910194,95.32050806,71.6096715,44.40582769,12.61092889,31.50745475,32.99958429,12.37843087,34.94015114,31.7570159,146.3910194,0.303337103,0.223390395,0.113402941,78.21278277,0.552858744,0.735917025,0.621988588,0.942250435,0.543411792,0.246979143,0.685875164,0.628726405
9,125.6240959,21152.649,117.02135,499.76614,2475311.6,8.70E-06,846.25001,47.29862287,25.71799811,199.8916647,15.5936556,43.55998315,107.8877514,40.15454998,43.4489492,91.61794674,299.139266,14.00719823,14.40575346,183.8916647,0.586691907,0.377681743,0.661622711,31.02685014,0.69349726,0.24825899,0.685930282,0.694398015,0.457396432,0.420039167,0.392292984,0.580228463
10,254.995732,24462.797,214.38867,499.79373,5244546.5,11.56333,807.45111,53.49507068,26.34680113,177.2455276,52.59006168,85.50291136,67.57779336,22.45109246,26.3752995,44.39229257,77.00524742,9.831176655,3.797201253,161.2455276,0.419098715,0.428884758,0.718720632,148.0055907,0.670622294,0.412477976,0.570011175,0.642274417,0.41715899,0.392323041,0.263177115,0.165886262
11,115.8837762,11477.654,65.908197,499.47131,756471.51,1.61E-05,1000.2214,9.191229692,11.76794513,155.7038061,50.63478906,41.65292213,122.5434902,5.684311366,11.1170455,129.2781801,97.88363873,2.170062455,4.108579635,139.7038061,0.877166439,0.464390416,0.314234939,92.34788592,0.718874091,0.87388918,0.363117514,0.321948498,0.872256028,0.718218333,0.399963614,0.632845397
12,229.4143145,28204.179,193.19537,499.44441,5448916.8,1.93E-06,818.64566,46.24618229,45.48296911,204.684577,54.86034319,32.53118504,120.4459942,56.41604121,33.16025927,73.13885126,73.87718066,8.483781555,8.683359083,188.684577,0.638345731,0.322286888,0.33347137,136.92195,0.283602051,0.478264343,0.691316109,0.466328706,0.322462137,0.409617595,0.241571793,0.281031596
13,245.9419568,22118.181,189.44594,499.85578,4190199.7,7.19E-07,777.96211,23.67407839,22.34700776,192.1976778,82.42552366,24.96623654,103.8837605,6.498818373,17.95362155,257.7821882,8.538223725,4.790103582,6.000178046,176.1976778,0.589586433,0.672620718,0.690972242,198.5938001,0.203025436,0.670284361,0.1562628,0.1812122,0.599658018,0.046288605,0.218920155,0.362645349
14,239.5349627,17402.142,177.03314,499.43739,3080755.9,17.885868,847.07244,29.37156116,36.76334605,148.3439451,107.3173892,66.14261841,63.11144611,11.66416852,12.0319343,88.56681106,59.2958895,5.532271517,2.050152606,132.3439451,0.476874451,0.575754716,0.468987158,166.0082706,0.552258574,0.896047809,0.891784616,0.629905209,0.792754229,0.697342026,0.254746291,0.087542656
15,250.4377056,28597.056,245.65741,499.42035,7025078.8,4.8122312,810.0407,80.42406953,44.60922258,184.8423739,61.11787349,71.8748135,53.35129858,18.50744446,23.90767928,35.97394801,27.70353613,24.03065453,8.29727919,168.8423739,0.315982874,0.303633902,0.613743119,89.58956653,0.573993547,0.488088432,0.599422433,0.555258775,0.421280031,0.192956404,0.424268299,0.21800105
16,157.6844174,17972.252,122.94525,499.37726,2209602.9,3.31E-06,979.54082,25.88878199,32.44623354,165.351615,53.34143026,58.10708382,80.92217117,16.12825612,11.2046803,85.91429566,107.4292635,8.648028559,5.225881861,149.351615,0.541823208,0.621671892,0.525843968,92.79195033,0.737004769,0.676559309,0.431894442,0.470695195,0.538531278,0.705834201,0.431868981,0.212199944
17,252.7915659,27096.164,247.22131,499.95213,6698749.1,3.9428197,805.94944,33.96210853,52.48349726,178.0925603,69.49482367,79.16886787,41.73332104,8.209843948,12.64854698,54.84315199,60.88197457,11.00817271,10.86265499,162.0925603,0.257465987,0.717827159,0.56394293,147.8245714,0.626356877,0.549819164,0.402327177,0.785925458,0.51104084,0.614365096,0.384403628,0.251068118
18,326.0098716,22949.017,252.78361,499.96695,5801135.5,58.892275,694.2806,35.04848567,43.4800261,159.374891,120.7307289,71.11878128,31.95226081,6.766571873,16.83287097,25.63477566,10.86761455,5.186651209,9.678080226,143.374891,0.222858135,0.685445536,0.609773831,239.0498194,0.43629833,0.74065689,0.309471042,0.657590224,0.315699135,0.198873212,0.176063689,0.305868661
19,273.9690672,25728.911,227.57416,500.01576,5855235.2,11.616202,763.65728,53.86955966,29.84337111,179.6934632,57.91886807,85.82739998,66.06785978,23.24301574,33.68718193,51.09171028,53.4479083,15.90252278,4.353261511,163.6934632,0.403607197,0.448202544,0.694307947,166.2299479,0.626548105,0.422813193,0.668539045,0.726913006,0.473770172,0.298557615,0.414990382,0.17067509
153,182.3482116,22919.073,149.31886,500.02178,3422249.7,1.47E-06,827.73631,37.00560082,25.56193787,197.4477359,33.39303311,52.62498503,114.197535,54.03706108,42.27347635,58.20039972,115.3384143,16.70755988,5.305587027,181.4477359,0.629368751,0.449732487,0.61989797,108.3370099,0.577192226,0.366255669,0.671110867,0.573597638,0.294916226,0.354637272,0.617397044,0.239971962
20,170.4548658,22029.695,146.27076,499.22229,3222300.2,5.75E-06,868.87351,33.85726084,30.40789727,191.1305982,42.04271932,47.89901413,121.1410666,30.61291995,15.39444678,94.92305099,126.8605307,10.78782221,10.04350299,175.1305982,0.691718454,0.372892117,0.436781606,102.7403442,0.562014043,0.493300313,0.52716218,0.32863756,0.520631914,0.613316629,0.467682856,0.454221941
21,292.4707703,34418.557,270.09559,500.08405,9296300.3,33.801169,735.55383,66.31353064,56.98393108,199.5389474,73.32114599,45.2815624,42.88197342,10.83687933,10.38717369,73.61768314,22.83227115,21.31383497,17.41859616,183.5389474,0.233639639,0.528544311,0.594873048,159.843709,0.309648464,0.501391274,0.487552867,0.302889251,0.481668313,0.200278506,0.35554502,0.359374605
