,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,237.0128296,26294.827,203.41972,499.68619,5348886.4,3.51E-09,843.23671,64.38143052,35.14046925,191.8062398,69.76380964,43.82252233,87.83805298,26.27060958,32.5670093,55.64887499,77.13047966,12.95052557,11.56538668,175.8062398,0.499629894,0.268128254,0.600532073,108.2499686,0.369790297,0.588692264,0.48121157,0.657985165,0.378485323,0.436519261,0.279276282,0.422225749
1,227.0354845,25972.628,215.58442,499.66501,5599293.8,3.8499751,894.40588,24.61314334,81.83849145,184.5772551,75.17901293,48.99131346,77.82093458,1.061013697,22.154187,209.6832951,49.62265747,8.485023641,23.20107655,168.5772551,0.461633656,0.728799678,0.098261245,63.35850156,0.431574065,0.662266633,0.12303991,0.656679556,0.889190105,0.566483253,0.393144556,0.508647823
2,213.1766484,26235.634,203.39142,499.65202,5336103,2.62E-06,896.82093,59.39627632,60.4049997,180.0399549,38.46428085,81.02984869,51.26033304,37.06934243,33.86423556,4.152741058,19.35508731,25.05274693,32.13214805,164.0399549,0.312486876,0.473342122,0.464397923,92.36664905,0.760213178,0.360867676,0.756158367,0.753936332,0.043641556,0.123755751,0.558766355,0.605770315
3,257.4689483,27608.336,287.31559,499.64472,7932305.3,5.8992893,788.2637,56.94861148,59.39303313,169.623148,95.04957849,75.63956709,21.20568941,5.399494487,1.829838414,24.30867441,19.23995945,15.13133608,22.37104491,153.623148,0.138037071,0.569931246,0.551471281,138.682882,0.587562637,0.738338189,0.485539187,0.156066441,0.475583414,0.447094617,0.320880392,0.481626962
4,229.8806986,30839.732,286.00542,499.63294,8820330.4,13.785185,882.20969,66.99964952,102.8214513,188.3899828,65.51280308,83.1342162,14.03879408,8.611394317,2.068573546,3.596884289,15.0774698,15.32881136,43.6029499,172.3899828,0.081436252,0.576892033,0.350674585,24.23779601,0.723281395,0.569972194,0.680897013,0.293261581,0.099129754,0.497557936,0.270965208,0.530397039
5,294.3486761,32676.977,282.49842,499.68337,9231194.4,1.43E-07,760.62562,117.1713509,128.8102898,198.2536221,33.77109633,100.9864346,33.61861833,5.323120819,5.88559422,29.91735153,46.46254795,47.84009037,55.87111005,182.2536221,0.184460632,0.211684005,0.133378501,36.72809643,0.686168771,0.229463212,0.458732564,0.838766474,0.654834888,0.79127744,0.637362575,0.590226482
6,233.3104172,26887.825,233.26778,499.64147,6272063.3,8.630074,865.92803,35.143918,27.62567387,180.8748118,47.91176978,86.21355499,34.16137424,7.575349966,7.934148591,40.55810586,92.87669161,5.476174359,9.66707677,164.8748118,0.207195835,0.731137681,0.788654676,163.0225812,0.739045912,0.410712649,0.407918167,0.581989712,0.456381384,0.600929441,0.184229012,0.374472387
7,268.0857275,32235.594,304.18431,499.67553,9805561.8,32.608062,798.61517,104.439915,72.27934491,190.5034143,35.38421897,102.7388491,20.24967722,6.896819931,5.639076328,18.63110491,9.994734015,45.58843335,20.26095642,174.5034143,0.116041725,0.322934297,0.531425648,59.20589758,0.766462654,0.263976895,0.804055431,0.310100917,0.576410884,0.101978328,0.620672156,0.297776657
8,259.7149916,29101.715,314.29802,499.64067,9146611.2,18.809297,794.73628,88.24998668,79.68464062,175.7582081,64.71121946,102.5577565,17.34267114,6.437069228,2.113122809,14.89024176,34.66392165,26.31788273,3.315091289,159.7582081,0.108555744,0.380334558,0.440477898,83.21501828,0.789771556,0.498324868,0.769293984,0.792061993,0.517519401,0.846166977,0.415848055,0.05054561
9,279.2120069,27592.976,294.54157,499.63863,8127278.3,9.6457734,753.22874,41.44756427,26.18303876,175.3573146,104.132294,78.74226964,9.993665388,2.718819615,3.359821015,12.29543378,5.748871478,20.30183959,4.986849626,159.3573146,0.06271231,0.72250568,0.824702738,196.3168783,0.564032117,0.745901261,0.454289319,0.425869955,0.401143091,0.21056871,0.55719149,0.22239877
