,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,378.2093281,32550.369,456.8404,499.66854,14870324,87.11452,615.99857,105.4448098,155.7892763,190.1147094,122.5772863,101.2515818,3.710140852,0.499208237,0.421107925,4.199326163,1.661207547,40.57003442,59.77891878,174.1147094,0.021308601,0.381209021,0.085768195,66.63077557,0.535426148,0.648198112,0.352791074,0.188395128,0.618606088,0.397532882,0.512850533,0.688105859
1,368.2816141,38091.538,379.34296,499.65665,14449757,124.03866,640.14824,98.64557547,174.9004582,210.7711413,103.2000445,74.39133633,7.164671788,0.15687877,4.633683409,17.87045497,0.546600836,23.81689703,51.50654142,194.7711413,0.036785079,0.474188839,0.067726936,18.4806976,0.403991584,0.560440927,0.231573902,0.693536306,0.905446358,0.067474199,0.281353358,0.52639498
2,100.717461,14358.413,87.697142,499.62441,1259191.8,2.47E-05,1386.3852,36.61160932,37.37351919,132.1160718,45.80730129,42.92449531,29.73860875,3.73464282,8.134441969,51.54166243,20.90609619,10.83320196,6.13161588,116.1160718,0.256111047,0.576143962,0.567323259,25.97042264,0.852374452,0.909619858,0.3529465,0.378540817,0.644188856,0.277405913,0.346826494,0.19534185
3,176.1863314,27315.922,225.60333,499.6522,6162562.9,1.18E-08,1083.7002,72.99700091,73.68927451,181.8516801,69.52127837,59.27424438,11.3262697,2.377614616,3.547415149,20.13576437,11.87193936,16.38900565,20.56622244,165.8516801,0.068291558,0.527605196,0.523125198,28.80778242,0.672858603,0.789179022,0.49739279,0.512384548,0.577958578,0.388735615,0.255243017,0.326952738
4,308.9205393,39918.173,349.62044,499.68135,13956209,2.49E-07,709.96838,132.3154434,141.4954754,218.7241619,58.60852396,89.30711007,5.829620738,1.729416929,0.242945752,1.814642874,10.00383688,15.13896045,35.78589636,202.7241619,0.028756418,0.327988259,0.281364153,25.92958859,0.578188231,0.379440772,0.352766373,0.15983359,0.159046031,0.739264027,0.148342545,0.308922473
5,262.4264911,20272.502,342.52255,499.62682,6943789.2,2.3853131,770.68494,103.6442079,7.832533939,143.3883106,101.5566609,111.3279473,6.339272396,0.526248294,2.75986818,3.308904228,3.323173389,0.931780268,1.981851535,127.3883106,0.049763376,0.143783301,0.935294538,55.13807533,0.848450527,0.773981777,0.150035862,0.544653408,0.446705683,0.200665238,0.015643836,0.298827123
6,365.0536584,28726.215,425.18757,499.63917,12214029,39.03946,604.3843,100.7360828,65.35205517,168.4257597,117.4145373,118.5238078,3.430346665,2.216214975,0.687354104,0.838967944,2.27947196,27.33716089,11.74856937,152.4257597,0.022505032,0.323898093,0.5613821,163.5814927,0.649350061,0.64327276,0.773250615,0.304750519,0.164486254,0.342496507,0.40107529,0.233884628
7,141.4450814,21257.663,159.59333,499.63088,3392581.3,3.32E-06,1241.9197,54.02264114,59.71179805,157.7936247,61.01743141,54.6119547,19.69855309,2.75233027,5.638158626,35.02579782,19.45717416,17.69876006,13.23198864,141.7936247,0.13892411,0.557536267,0.510940145,22.02148533,0.772200124,0.86277205,0.372689082,0.479231928,0.625096453,0.402748542,0.378886917,0.266275153
8,343.2165457,25043.938,431.41224,499.64041,10804261,71.673021,619.956,126.6041273,63.66524327,157.3920543,132.8433165,109.1065887,2.513265917,0.129602691,0.31818921,2.424064966,1.439908954,28.65126172,14.94548599,141.3920543,0.017775157,0.088383987,0.54157691,90.00829107,0.63578863,0.774107881,0.373904189,0.19009591,0.862083812,0.333999993,0.408124769,0.322131732
9,215.0360042,32766.538,283.64016,499.61755,9293906.3,3.77172,928.55321,93.85282449,89.10059169,199.8482756,62.7889316,70.12094413,9.731717181,1.652598015,2.655237143,16.68560882,11.93542017,25.94307957,20.71350578,183.8482756,0.052933416,0.46097703,0.488270429,27.33035524,0.652178638,0.58398529,0.476290093,0.457639921,0.643461692,0.403802799,0.324794381,0.264988615
10,276.0274486,36267.189,354.03969,499.65609,12840024,32.108714,774.82583,118.2358305,125.5034558,207.4064738,66.28644261,87.50659213,9.456745131,1.925829694,1.39195355,8.261117861,12.30399055,19.71649406,28.39204314,191.4064738,0.049406611,0.350173087,0.310230047,25.0205371,0.634042684,0.480288775,0.366628658,0.368866355,0.444543842,0.600962222,0.21586094,0.282660147
11,160.8297638,23514.38,196.51291,499.64336,4620879.4,2.68E-06,1198.6454,69.85804525,58.68380587,162.8460104,69.9608957,61.52551853,12.4187061,2.241894134,2.669544576,17.34972004,11.77278625,21.57235129,12.42454198,146.8460104,0.084569585,0.480328452,0.563453227,21.11367334,0.765101149,0.869999359,0.409382198,0.341652829,0.559029235,0.3708187,0.36909439,0.251485347
