,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,312.9537178,29860.674,448.80769,499.6622,13401700,22.355776,667.98467,103.0077473,124.1021218,178.2894796,108.7023037,102.899063,4.030134474,0.604224774,0.868589589,4.46711104,2.692811059,16.74119013,28.25918131,162.2894796,0.024832999,0.349120602,0.215830688,64.74947413,0.657599237,0.694686131,0.444806296,0.422946186,0.662939342,0.490422823,0.225768199,0.354881892
1,348.1893299,40689.957,387.01217,499.66013,15747509,1.71E-07,666.43773,154.6785411,158.6790472,219.0025686,83.64959255,91.68199626,7.174394209,1.068131167,1.885672443,4.957712971,5.600735711,57.15518743,53.91802599,203.0025686,0.035341396,0.210131323,0.189702668,30.83123555,0.526621515,0.480483377,0.269363753,0.533656532,0.447286342,0.507485309,0.53459069,0.492753561
2,100.9414797,12301.096,80.542403,499.61206,990759.79,5.22E-05,1548.5234,47.7273725,15.3094273,116.1464554,46.26625714,47.6246771,27.52349066,9.50072216,4.681488726,28.58549133,53.02829785,16.53796286,1.04195968,100.1464554,0.2748324,0.342806057,0.789193028,5.486734672,0.943609649,0.916694649,0.93045255,0.532536416,0.629012843,0.68060276,0.484326511,0.078799176
3,195.9095244,29413.519,249.15679,499.63692,7328577.9,6.37E-08,1005.1563,85.20909661,73.51575014,188.2823845,74.6060934,56.38315502,14.47707797,3.814545219,2.722671145,20.33421904,23.71045762,28.62165714,14.20173992,172.2823845,0.084031098,0.460036557,0.534136388,25.49133117,0.575604021,0.761638247,0.50805659,0.495841324,0.481379398,0.620709857,0.38622351,0.227555376
4,313.0873802,37277.886,399.17035,499.6657,14880227,55.711549,706.91153,141.4724341,136.0968149,209.1789005,91.23833417,82.71261093,7.429580401,1.587845341,2.037116188,5.504101138,5.83236719,37.22570382,36.8196532,193.1789005,0.038459585,0.238369034,0.267309216,30.14251198,0.528367581,0.582829842,0.384198998,0.513969273,0.44372738,0.46652465,0.365782845,0.374656842
5,153.2036134,20662.139,161.07118,499.66461,3328075.2,9.52E-07,1242.3387,61.71324549,50.30934599,151.1131257,61.60519169,61.92946125,27.37537231,6.736166546,6.113445604,29.66364431,20.92285,15.02172478,12.01414492,135.1131257,0.202610754,0.427190158,0.533038843,29.77712243,0.808459538,0.804226354,0.540526618,0.334511036,0.544764946,0.33240117,0.313612921,0.292557311
6,280.3337401,24735.208,378.41144,499.67718,9360085.7,1.8698863,727.66498,98.2091435,37.332294,151.7097899,106.6083544,118.5958287,2.018612112,1.068222211,0.086803624,0.926438677,3.238403931,39.01590485,18.32821546,135.7097899,0.014874477,0.26540296,0.720757236,83.91545316,0.846104565,0.760581686,0.803915251,0.149538838,0.34173849,0.712438342,0.624966304,0.605465005
7,336.83303,33209.008,448.00167,499.65567,14877691,43.082667,655.06565,118.3062092,122.4615436,188.0348303,109.6045036,104.0822046,3.052855292,0.700208893,0.278626775,2.41828079,3.335792784,28.60922643,55.53596529,172.0348303,0.017745565,0.299888588,0.275298187,91.90994269,0.61800474,0.650794274,0.454506959,0.329786752,0.495360935,0.72325268,0.34352877,0.664227943
8,252.9961071,35141.22,336.32573,499.62273,11818897,19.347224,825.94147,113.2643644,114.1079901,205.2855131,90.01889754,58.97753071,6.206792969,0.913548116,2.083454691,6.690063225,4.13895096,17.9082301,27.81201258,189.2855131,0.032790639,0.381335175,0.376727181,24.78012693,0.466232713,0.711622788,0.243015532,0.500369722,0.394338268,0.329149453,0.184598882,0.311850489
9,125.2358917,16663.446,121.757,499.61201,2028891.2,3.74E-06,1375.7612,29.05391643,59.23673551,136.8301299,56.07202243,53.2447045,26.25129366,1.452302601,1.261227096,68.67472204,21.26537636,12.2786841,7.061045135,120.8301299,0.217257845,0.692807423,0.373678744,6.762420637,0.850310623,0.895462502,0.777901634,0.086874637,0.928881642,0.446968869,0.489888869,0.159543213
