,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,368.0203448,25947.306,505.3891,499.65384,13113485,64.830051,592.10256,112.8614256,139.5729249,171.2999556,117.110996,119.9420381,3.11266135,0.145205432,0.842980483,3.410504481,1.606669214,47.53887576,21.71792879,155.2999556,0.020042899,0.258404415,0.082887139,88.87449497,0.651822867,0.636437619,0.226270441,0.504851973,0.793831094,0.463559463,0.651034593,0.281756683
1,326.1611038,34812.539,442.97359,499.66278,15421035,61.309508,673.29542,150.5163174,139.410807,204.0771071,97.64010957,94.61529069,4.381302631,0.753496543,1.205749211,2.771953624,3.317868339,8.268672057,37.08676013,188.0771071,0.023295247,0.18062191,0.241077893,25.12846911,0.580175193,0.598723198,0.31188908,0.53757237,0.448585931,0.488062674,0.083773267,0.383978596
2,115.9085432,12999.003,97.989563,499.69714,1273766.6,1.75E-05,1558.7844,53.83637769,7.746643304,116.6022389,54.1834658,53.23625842,22.83713155,6.766217713,2.582602043,17.69197945,47.21478814,5.137400273,0.679076091,100.6022389,0.227004208,0.307705222,0.900384072,8.235787768,0.918590761,0.934934809,0.5939267,0.385341086,0.501148176,0.706525333,0.138014074,0.100729455
3,209.8653946,33833.473,277.30333,499.65558,9382134.8,9.34E-08,937.77633,96.1881732,93.95034787,208.1002816,72.01181173,49.99743366,5.570682697,0.886985959,1.470258282,12.48852575,7.510013052,9.199970757,32.82274441,192.1002816,0.028998826,0.484327561,0.49632472,17.48904823,0.476471443,0.68626666,0.378177259,0.491104771,0.578970125,0.462583422,0.104445657,0.401811014
4,326.081209,39184.863,389.66787,499.69948,15269082,2.75E-07,692.64747,153.5831511,130.9472731,214.6305403,90.82089771,80.91883739,4.035894015,0.517245466,0.911087021,3.002513615,4.426591607,8.250098248,40.53490752,198.6305403,0.020318598,0.210753461,0.327076692,18.9149068,0.49631095,0.557044658,0.236022141,0.525826533,0.456994542,0.57068347,0.075616213,0.404250244
5,150.9929829,22834.317,195.72653,499.64369,4469281.5,0.020469579,1278.8564,69.17727797,70.37358945,161.2685766,65.43043346,65.59458873,6.296838045,1.040869079,1.36740865,9.119115887,7.598600582,10.87096137,16.93244989,145.2685766,0.043346181,0.502220533,0.493612225,10.24580401,0.868842875,0.866668533,0.387778035,0.420215003,0.573724494,0.483221728,0.187308556,0.287643742
6,322.0304915,25650.587,485.42789,499.60862,12451510,20.416956,632.98816,112.4277811,116.7984834,162.9517987,114.6299544,112.9533937,4.38468504,0.760772047,0.343799743,2.628114078,2.524019662,12.475813,30.19794103,146.9517987,0.029837573,0.211404523,0.180747366,88.4335247,0.701507445,0.71191988,0.321559829,0.145365437,0.46042185,0.460606156,0.178253714,0.427455648
7,283.8548495,38275.706,360.21877,499.66792,13787628,38.85713,760.68759,130.6070886,123.2040102,213.6871693,79.69433372,72.42217737,7.005767365,1.104612979,2.287271808,8.384827695,7.385018896,11.52030618,27.8498252,197.6871693,0.035438655,0.315050722,0.353875056,22.64067226,0.510276132,0.561514689,0.36016826,0.638539337,0.56222698,0.48870163,0.110854237,0.282794159
8,178.3821861,27149.385,236.34234,499.65049,6416549.2,0.28939079,1092.5284,74.38527935,78.90632158,179.1050249,75.04858866,62.37578328,6.83680791,1.20222111,1.716110437,10.11275629,8.289568128,11.23290593,22.59270172,163.1050249,0.041916599,0.52398971,0.495058412,20.56954289,0.699349914,0.841435912,0.35114038,0.493613912,0.499216286,0.491484186,0.173046755,0.343472937
9,129.2889326,18743.341,144.85092,499.62876,2714990.3,1.53E-06,1422.7118,55.39277991,49.19636984,142.0988996,57.39987717,57.98744726,13.06746038,2.192936836,2.182895213,19.21124051,18.0272002,10.48151338,11.72605186,126.0988996,0.103628663,0.509934755,0.56475499,18.50337282,0.897021053,0.887931797,0.432026104,0.354688443,0.611559109,0.529028467,0.228696744,0.281627648
10,310.5648276,30916.643,476.467,499.64046,14730760,37.826149,674.28397,149.1992988,146.3269959,196.1569173,99.97343232,100.4389402,3.988764672,0.721635104,0.910614804,2.532607653,3.058417246,12.14706834,25.22973889,180.1569173,0.022140502,0.153085863,0.169390189,12.16622991,0.64681465,0.643816836,0.352622826,0.53254939,0.486939223,0.571316863,0.130636689,0.2713594
11,267.2660632,39310.663,329.76811,499.68007,12963403,1.34E-06,788.80362,116.0729026,120.9397609,218.5591055,74.19700715,58.51068769,5.625178311,0.901643574,1.938931913,9.137600303,5.041969395,6.42519689,43.79006793,202.5591055,0.027770553,0.410599767,0.385886613,25.38654133,0.437845995,0.555229544,0.338207876,0.542817306,0.526069257,0.365001674,0.062880822,0.434923241
12,322.8298062,35854.483,421.9423,499.62775,15128523,69.171506,688.2858,149.2454554,144.9254151,208.0587783,99.49509794,83.94270308,5.326193542,0.99216966,1.759964211,3.838556022,3.969625508,9.373661213,33.02502318,192.0587783,0.027732102,0.200753015,0.223887918,24.33889531,0.520043078,0.616393505,0.349788972,0.654657972,0.467446938,0.495254528,0.090967948,0.334498036
13,239.0172054,36881.295,307.50076,499.65771,11341026,15.888138,860.66047,102.3962481,109.9865108,214.1948094,65.73374273,60.02928404,7.238749046,1.093559973,2.10504869,13.95691434,8.847195322,10.46735735,24.08503182,198.1948094,0.036523404,0.463770629,0.42402189,19.04418392,0.502300945,0.550033564,0.370165456,0.513471914,0.591884398,0.433653878,0.114901725,0.25379597
14,354.4243827,31282.572,411.39852,499.67037,12869604,1.86E-05,677.2569,165.0290034,154.2706484,202.7485123,70.24486581,120.6928185,2.868849281,0.26901051,0.095294204,2.678541497,3.503527553,46.77335324,32.29570645,186.7485123,0.0153621,0.102516283,0.161023868,24.36637583,0.681063857,0.39638845,0.466880146,0.175309364,0.799157273,0.810524247,0.493247388,0.30708604
15,197.4947348,26522.948,277.507,499.64526,7360303.7,0.292163,990.24954,88.53854406,84.48836957,169.3048141,76.29206865,84.33694026,5.827102969,1.280295438,1.038043697,6.228383182,6.315354928,12.71363106,20.94875787,153.3048141,0.038009915,0.399647965,0.427110925,20.41764666,0.854067734,0.772598507,0.496005424,0.36402551,0.5570333,0.510637007,0.187643691,0.311938818
16,310.0939231,35881.116,417.98145,499.66441,14997641,48.366742,700.53156,144.6842734,130.4490788,206.0842121,90.57431704,91.19923015,4.442073295,0.552623799,1.118983978,3.666341132,4.054792903,8.831891362,25.94820312,190.0842121,0.023368975,0.220628063,0.2973089,20.72537635,0.588203917,0.584173441,0.267028644,0.516942881,0.534107184,0.512700923,0.088301789,0.268335626
17,115.4635928,16769.113,120.35293,499.6236,2018211.8,2.03E-06,1457.2138,45.59813974,37.45735017,136.0774354,52.54992495,52.09278199,14.25850546,1.923493636,2.419561859,25.86660198,24.7854505,9.618763568,11.03166295,120.0774354,0.118744254,0.569092791,0.646024107,24.2673133,0.90232394,0.910242332,0.416054156,0.414806228,0.675759782,0.590911327,0.247391944,0.338024523
18,263.3793129,37924.924,336.51952,499.67903,12762477,26.148167,802.54899,114.5552591,121.8575922,214.3278913,74.75016902,64.81092418,7.756283066,1.326627871,2.003375563,11.22591649,9.131015074,13.88846214,36.21293989,198.3278913,0.039108383,0.398886014,0.36056796,19.66412857,0.492148935,0.567623692,0.366439754,0.53463727,0.533240804,0.516886147,0.141794915,0.365158675
19,161.0852411,24747.126,208.28047,499.64616,5154343.2,4.49E-07,1188.5279,69.52612549,73.27964868,170.5455726,67.38631553,64.48930831,7.631797035,1.193861862,1.421613214,13.78673487,10.08102264,13.79040002,22.33359098,154.5455726,0.049382178,0.526755573,0.501206416,14.52594374,0.800685499,0.836654123,0.452163135,0.382645018,0.65403504,0.513191026,0.230990035,0.361352491
20,293.0107368,27925.812,443.43492,499.64848,12383280,12.038788,691.58583,102.052974,128.5374869,173.2301965,106.1915937,102.535785,5.33267151,0.586207696,1.434903797,5.498228771,3.179139543,34.55314444,24.84743931,157.2301965,0.033916332,0.328145906,0.153788141,35.935763,0.699877323,0.724830734,0.309833677,0.516734816,0.645204533,0.479272842,0.481150387,0.320693557
21,310.6210528,38122.459,391.80467,499.60627,14936557,60.838098,715.10178,143.8353883,131.324564,211.991075,90.91190159,79.68957131,4.776181421,0.755952706,1.333150992,4.16222958,4.288876916,8.68364734,39.39819702,195.991075,0.024369382,0.247781459,0.313209544,22.95027615,0.513098327,0.585355698,0.313866518,0.540680306,0.495723393,0.483752485,0.081909469,0.397438792
22,233.9440436,28725.327,341.19034,499.65428,9800804.1,2.302138,848.54293,94.71534576,106.703066,176.4597202,95.82621009,80.72546377,6.221933069,1.005183028,1.362380514,6.723366056,5.439833913,12.32252181,26.9400419,160.4597202,0.038775669,0.385913481,0.308191151,20.53791152,0.690126259,0.819223338,0.355699089,0.47835948,0.545810532,0.542260171,0.167925146,0.357146747
