,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,330.3029752,19757.007,520.51353,499.64297,10283789,16.803535,588.23819,99.92846403,102.4418996,133.9590873,124.533831,124.7455927,2.317817554,0.378714709,0.833665126,2.137830149,1.408459916,14.43570896,25.71187591,117.9590873,0.019649334,0.135875417,0.114140654,125.419176,0.755340412,0.754058185,0.875896782,0.793398969,0.813456554,0.546663429,0.257613625,0.455144653
1,315.2625284,37879.111,413.80644,499.60931,15674620,63.266622,706.01249,149.5416519,145.8465013,213.5972817,92.83214726,85.96881757,3.362667985,0.807170661,1.013520084,2.909772122,2.308454047,39.93547375,32.55002085,197.5972817,0.017017785,0.230097823,0.249121985,16.17922458,0.54537923,0.588919639,0.50578116,0.516389868,0.525409839,0.416325584,0.373739699,0.312151816
2,123.5423802,15689.189,119.92396,499.62258,1881509.6,0.13176188,1542.7214,37.16204508,45.07266035,123.3964582,55.51147303,56.82510717,19.56133923,2.187071533,2.585717807,26.67981707,19.29105634,9.409080569,7.491458078,107.3964582,0.182141381,0.576911314,0.486849214,33.39705949,0.919928968,0.898662839,0.287553071,0.256756359,0.611181973,0.485172979,0.313165981,0.212397282
3,202.1014004,32679.814,266.64686,499.6556,8713969.6,4.95E-08,970.75578,86.3898076,92.99181639,204.2882722,62.17661683,59.00423234,8.812720408,1.863378292,2.156543278,19.31214897,12.81360201,27.20529468,20.62185257,188.2882722,0.046804404,0.518654175,0.481869171,16.11776764,0.583907209,0.615301197,0.580922482,0.460340187,0.63602391,0.468419188,0.350372233,0.251640395
4,324.4317208,40857.874,367.72992,499.65948,15024663,5.06E-07,688.63161,160.9191994,130.1579292,220.2341276,87.95530426,74.79953708,2.739383226,0.493632557,1.068867341,2.409089636,2.045437863,34.37907269,34.35125762,204.2341276,0.013412955,0.201372721,0.354038094,2.593321897,0.46111112,0.542211495,0.378118387,0.605685196,0.523433833,0.355795051,0.29608123,0.333359255
5,342.9653938,24116.183,511.25191,499.63309,12329445,58.23728,601.02555,144.0956373,143.9271508,174.8387473,104.6724137,111.9793031,7.024365124,1.15050289,3.584334521,5.584004597,1.277324682,26.39249323,9.444731053,158.8387473,0.044223247,0.050843304,0.051953123,54.77411915,0.653006426,0.610396358,0.634929605,0.613790829,0.742038402,0.168655435,0.343103565,0.122219793
6,147.845508,22087.906,176.26544,499.61211,3893334.6,1.07E-06,1261.0451,68.52280449,60.61397437,159.2790099,60.18696689,62.12199232,16.26206777,4.190224801,2.427454182,17.43580536,24.33133051,23.26610006,13.99078032,143.2790099,0.113499303,0.460522326,0.522788273,10.79989906,0.840363609,0.814187292,0.479932536,0.353027171,0.463114885,0.577168687,0.415073531,0.273151329
7,277.8222691,38454.666,353.4775,499.69351,13592860,34.482873,776.2612,130.108645,126.7984827,215.3110443,76.96561425,71.81257564,8.22717054,2.048445711,2.342745313,9.069089246,7.518923212,36.40565601,50.95350235,199.3110443,0.041278046,0.319101908,0.336424994,17.60497897,0.516967743,0.554063679,0.508256042,0.497327455,0.510118083,0.427425315,0.349836185,0.504251099
8,265.468614,23998.641,414.28907,499.63433,9942374.9,2.3218225,730.30901,99.78975772,96.40077501,150.6899867,105.0010308,109.3087878,3.917374533,0.710420623,0.967113473,3.294070074,2.994884929,23.28840886,14.50718344,134.6899867,0.029084378,0.236921584,0.262836664,65.88909857,0.823515715,0.791061732,0.497765375,0.553750083,0.635669289,0.554170775,0.370832931,0.232670202
9,311.8583789,29352.099,486.65441,499.68941,14284329,32.792704,667.11935,134.257906,143.5396216,187.4454447,108.2133415,101.2940722,2.672399528,1.375395565,0.46371564,1.392107112,2.075243992,29.70210251,15.51727798,171.4454447,0.015587463,0.20450623,0.149510981,24.77913564,0.649615845,0.693990278,0.820619671,0.452232265,0.372831395,0.616302638,0.339329899,0.177677816
