,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,349.479091,23641.381,496.76281,499.63867,11744159,40.70421,593.72064,108.8896787,109.5339038,153.7794546,124.8049739,118.0605205,3.226898401,0.540677744,0.714267726,2.990400118,2.579792673,22.78853039,19.24494838,137.7794546,0.023420752,0.190727536,0.185939629,130.4112834,0.675637104,0.714234282,0.662035151,0.641789118,0.746911652,0.65510779,0.347839044,0.295629986
1,333.6871622,36530.186,429.48245,499.69334,15689074,75.307045,673.68783,152.1162917,149.0512035,209.2927071,93.71371014,93.61947589,5.658052582,1.449867731,2.548218953,2.829715056,1.766487183,22.44291202,48.00484899,193.2927071,0.02927194,0.189295324,0.20563073,29.45457872,0.561121233,0.561686039,0.391316933,0.569434926,0.345163673,0.209092559,0.221356412,0.474860348
2,109.875974,14739.9,104.33454,499.69279,1537880.7,4.67E-06,1523.4969,54.37073128,52.66474026,126.4066587,50.12377083,48.50671419,28.15775751,1.922966369,7.831330301,17.9486207,33.07172277,14.54279182,3.406146934,110.4066587,0.255036769,0.338948843,0.359690652,1.134511447,0.882935776,0.912369993,0.108204801,0.84436031,0.368857982,0.670610564,0.365763256,0.087897916
3,225.5732604,36840.313,284.49472,499.66818,10480875,4.38E-07,883.65243,95.89184786,107.7224932,218.2699785,49.59980526,60.51242516,6.828267155,2.489023569,1.435697616,10.82307222,14.25589006,22.94178847,21.13120955,202.2699785,0.033758184,0.509358329,0.448825471,10.12827389,0.536521262,0.43976671,0.655547431,0.466599769,0.443949309,0.549382602,0.264579951,0.214808215
4,155.3623933,24772.001,198.18252,499.6472,4909377.7,2.06E-06,1151.1341,71.1760028,65.04507001,174.2676615,61.9722484,62.58909017,7.767838829,2.656261903,1.5122641,9.907997803,12.63597613,16.2350685,15.4785505,158.2676615,0.049080392,0.527069192,0.567806335,13.01038769,0.805717379,0.797776696,0.613503276,0.412254575,0.442616894,0.527760889,0.263006675,0.270420283
5,332.2936514,42141.421,361.13655,499.66306,15218808,1.89E-06,675.2675,145.3876009,155.558931,223.7187629,74.15387582,82.10317219,6.506065607,1.732214166,1.654032883,5.726066183,5.336461349,28.9610337,52.01343353,207.7187629,0.031321511,0.277443209,0.226893068,21.17578937,0.494160342,0.446315333,0.498461733,0.469258148,0.465864646,0.45823134,0.261963445,0.449981304
6,281.3345297,23198.625,446.82612,499.6261,10365752,5.806097,686.35038,95.15336816,118.579874,153.8605375,109.0531286,106.7081885,5.359174705,0.809386661,0.982895057,5.158128775,2.808018917,25.01445921,12.51464436,137.8605375,0.038873885,0.281868758,0.105066759,44.17478166,0.758585792,0.775255912,0.476226201,0.340475152,0.682864513,0.461328729,0.401042751,0.18793983
7,295.5249099,37361.446,389.27154,499.68245,14543748,43.054097,736.14834,138.4204115,134.5562168,211.1672318,88.88978995,78.98643319,5.778092204,1.401303978,2.248235537,4.919032583,2.740824758,28.86891089,37.60197061,195.1672318,0.029605852,0.269121705,0.28952517,18.68408703,0.534550087,0.601572233,0.452323108,0.529188291,0.463834196,0.264729546,0.277624439,0.375909902
8,128.3892914,18749.888,137.84397,499.6022,2584559.1,1.29E-05,1343.4796,38.98537247,54.22384936,145.5331203,55.37562532,56.84014493,15.80635312,3.955567462,4.229931034,24.78003889,23.10872144,17.46616574,12.72849855,129.5331203,0.122025572,0.657201436,0.523209437,19.9415927,0.885434358,0.862620624,0.530644477,0.629734923,0.528400357,0.575044135,0.513248668,0.279246361
9,193.9856162,25838.702,260.81193,499.6924,6739041.6,0.33184843,1005.9491,82.75976393,85.56409253,166.6205704,75.84081522,79.57545571,10.95135326,1.133144556,1.591674377,16.02700094,15.27977851,20.2751203,22.33936613,150.6205704,0.072708218,0.407458811,0.387380453,22.85743118,0.820426352,0.781922049,0.418218011,0.516365059,0.752591398,0.718531635,0.318441318,0.339555689
10,327.5115189,34904.044,446.65121,499.63874,15589933,61.078932,673.2194,145.3602434,151.2268786,204.4278504,97.87464362,95.99586874,4.878186212,1.416925954,2.018953712,2.1218576,1.819802753,24.5012946,42.96728355,188.4278504,0.025888881,0.208060423,0.17609831,25.05776174,0.586213695,0.597686725,0.412051394,0.566692274,0.295083959,0.269667385,0.250360476,0.43852176
11,300.6144349,29671.881,454.75494,499.69097,13493434,19.949194,685.51995,134.8096811,119.9998674,182.5322296,101.4961656,103.7047245,5.27406462,0.737391454,0.825179423,4.901883446,3.525853111,29.50611426,27.247888,166.5322296,0.031669933,0.1640133,0.255852456,30.99507267,0.689951729,0.675258097,0.503190051,0.284417606,0.72214347,0.449893892,0.354372763,0.335709384
12,241.6931223,36952.745,314.79653,499.67723,11632596,16.385985,855.0785,108.7138162,113.7030932,214.5214899,67.08921964,63.45963365,6.771507268,1.819010354,1.932308957,8.256930134,8.272743988,25.25340501,36.59634752,198.5214899,0.034109694,0.433043932,0.407024232,14.28693588,0.525125689,0.555160354,0.457312301,0.521602589,0.412595947,0.452919192,0.26634111,0.377015676
13,152.8779867,19047.032,148.32574,499.67085,2825165,8.14E-06,1222.1468,9.743514937,47.74717499,149.2203844,67.05135189,61.48096953,19.78454559,9.436032394,1.573742826,13.35030554,42.17154765,2.633829552,1.072093348,133.2203844,0.148509897,0.914105497,0.5790821,57.38363667,0.804314223,0.877187793,0.585207687,0.763070289,0.185008046,0.895757903,0.297902774,0.027219915
