,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,317.6377633,25986.386,484.6714,499.65233,12594858,19.271526,641.44898,106.0433016,127.4027077,164.9471063,112.5367642,113.4360406,4.158196773,2.799990705,1.464415155,0.539675939,1.607767269,30.68358108,28.77676505,148.9471063,0.027917271,0.267600661,0.120079652,62.83234799,0.714247824,0.708585547,0.742261716,0.526816366,0.092817861,0.331502297,0.443595972,0.393613854
1,298.7737745,34312.127,416.27812,499.62247,14283388,29.737901,717.11382,135.7440927,127.4410247,198.5226392,94.33819496,92.89435427,6.240648809,1.305308081,1.797281209,5.154845603,4.324362956,49.7735483,29.89946739,182.5226392,0.034191095,0.229960517,0.277061574,27.28558908,0.621837405,0.631502515,0.455468252,0.497871931,0.54077537,0.421546241,0.533795286,0.328654614
2,162.3420546,24121.246,201.84101,499.67969,4868656.7,0.28292767,1193.8896,71.95910302,67.52693421,166.228464,66.77425881,64.21169302,13.20199889,4.406199619,3.508798042,12.95610328,17.56197992,28.64650235,13.3811128,150.228464,0.087879477,0.474852519,0.507197867,18.42384857,0.791066655,0.822636611,0.558767482,0.572168516,0.402698848,0.535490369,0.47923094,0.237246411
3,203.1515476,33242.895,268.14215,499.6817,8913821.6,2.87E-07,959.76289,96.5775272,95.54581098,208.2008309,63.04098338,55.57911422,9.467017771,2.095997874,3.729204393,20.00880217,9.259417635,40.51342259,20.87125172,192.2008309,0.049255863,0.471485186,0.477131192,9.996493189,0.547168997,0.620630107,0.58659025,0.576368166,0.622564448,0.316555884,0.467945524,0.248110197
4,313.0236503,31301.782,443.46081,499.60486,13881114,45.512067,701.24325,128.9925868,126.2841612,185.6995092,90.83375034,120.0947399,2.161723783,0.019325438,0.997092525,2.736656702,0.70601224,51.11201875,48.89017837,169.6995092,0.012738539,0.230068689,0.246234747,55.0384767,0.767320551,0.580363498,0.116478905,0.584134818,0.923249383,0.21037268,0.615000336,0.558633071
5,386.5530969,31826.799,285.92451,499.63549,9100062,2.20E-06,645.16846,126.8224077,156.7218733,194.8276007,41.42983779,118.0823963,7.096761947,4.149497924,3.159675158,2.897536301,1.289539904,25.56921159,20.92297872,178.8276007,0.039684936,0.261504756,0.087398196,73.10935036,0.610950461,0.214355224,0.813830316,0.510252483,0.281541892,0.127436441,0.302334768,0.202234213
6,301.060481,38211.407,369.35708,499.69323,14113654,2.20E-06,735.15144,122.8498659,140.155686,211.6780998,71.22215435,90.3917841,6.456470349,1.307696289,1.441188846,6.314095722,5.817420311,42.67131955,29.50935907,195.6780998,0.032995365,0.350762033,0.259304095,20.74910905,0.600489203,0.473141836,0.401221808,0.423892481,0.495190871,0.47341314,0.448760196,0.276047788
7,178.6282352,24539.451,241.42083,499.68038,5924334.6,0.066873617,1091.8977,78.41801589,80.09171309,161.6059442,74.31967741,76.17478459,8.016276471,1.989379158,1.745670868,8.306948641,8.863711933,30.80897458,19.46057155,145.6059442,0.055054596,0.430058832,0.417894422,18.44480898,0.85288627,0.832115677,0.503601288,0.476043431,0.507214359,0.542550559,0.501111544,0.310198138
8,263.5457497,26757.475,420.83216,499.65782,11260406,3.3089169,755.48397,109.0503503,114.0347316,167.181234,103.2044834,104.7463404,2.615838758,0.585368525,0.143115298,2.597220919,2.670459641,45.34382522,3.860091937,151.181234,0.017302668,0.265977449,0.232427367,35.47628641,0.794900623,0.783199756,0.714088985,0.206407184,0.686623762,0.734936284,0.624592027,0.052109645
9,222.5751236,26866.297,331.68582,499.62018,8911169.7,7.9330783,895.22371,109.6966405,102.1833161,170.1734417,100.213377,78.09909459,5.74910741,1.09154699,0.974388844,5.491568386,2.563877195,39.43937332,27.42279374,154.1734417,0.037289869,0.260925501,0.311546071,3.181842585,0.70177739,0.900490364,0.465957766,0.237164848,0.592530169,0.285369478,0.508623413,0.385876137
10,267.9938462,36065.496,358.79975,499.61089,12940291,21.022748,785.47741,117.0285439,127.6871533,207.2159964,78.45185057,78.82282109,8.498749219,1.412925613,1.5598458,11.75878838,8.389355679,48.36365349,24.50458423,191.2159964,0.044445807,0.359510141,0.301176242,12.61953962,0.588243515,0.585475015,0.472330889,0.377141441,0.648020042,0.513343647,0.518837906,0.250567516
11,193.631582,25580.356,268.22814,499.67557,6861371.5,0.17748351,1010.0998,87.52084145,85.70083651,164.7181359,80.24773888,79.0236008,8.363862344,2.196863244,1.846068995,7.843262197,8.642976445,33.20699154,18.00056661,148.7181359,0.056239693,0.376429095,0.389396316,18.58989911,0.816226361,0.828870353,0.526454208,0.486683515,0.50107468,0.546482118,0.500920308,0.276114645
12,315.3666576,31420.165,450.02556,499.68876,14139877,30.548902,674.08098,131.569246,124.7356001,187.0897683,101.9765721,103.5397059,5.406643009,1.231491156,0.965620184,3.530197846,4.903005479,44.68713252,16.7090039,171.0897683,0.031601206,0.205898333,0.247143607,52.22816557,0.656630645,0.646717524,0.431664798,0.461603125,0.472336603,0.613090049,0.524458222,0.198572059
13,242.5768867,34227.223,333.06437,499.6924,11399868,9.1259714,846.0054,114.7324043,112.644593,202.9788273,77.27010526,74.70655754,8.580602123,1.580645418,2.106047077,11.18571847,9.432754785,49.76961633,21.66728616,186.9788273,0.045890769,0.356874744,0.368577838,13.11207811,0.615941268,0.637077228,0.462639794,0.498862629,0.601825259,0.5079952,0.5419101,0.240372449
14,281.9443478,26241.233,428.39685,499.68654,11241662,13.464143,710.01627,118.6420747,89.39999518,161.2597027,113.2669095,103.997087,3.378894682,0.458726002,0.236405502,3.163849709,3.626799692,33.53852887,21.33687436,145.2597027,0.02326106,0.163790534,0.36989367,44.6601984,0.737713579,0.803469978,0.54351564,0.22257534,0.750214826,0.68565549,0.467810117,0.342852663
15,239.2312724,26868.272,354.30819,499.62949,9519648.9,1.7976199,826.38433,105.487629,95.89897731,165.7886986,94.62775057,94.02445211,6.876037707,1.822132302,1.501861551,5.165149065,5.715149858,37.58005184,21.62047021,149.7886986,0.045904917,0.261873452,0.32896794,28.25601435,0.78605486,0.791098502,0.540263428,0.450490262,0.509503303,0.515151293,0.529089167,0.318802725
16,291.6554798,32867.072,419.68079,499.60497,13793679,20.46369,722.08992,126.2756089,127.9929924,192.8062957,96.09815645,95.41150222,5.879919266,1.754879054,1.263677374,4.100032775,3.629278862,46.87485485,31.76649333,176.8062957,0.033256278,0.26122807,0.251180566,35.66949511,0.654275396,0.658984062,0.536353989,0.358353337,0.443552351,0.400273286,0.532063605,0.359437374
17,210.8165116,26171.903,300.44789,499.67072,7863293,0.73761695,931.04906,96.19767476,87.00836635,164.8185989,85.93375445,85.18643587,7.763198903,1.917587921,1.697235435,6.589190347,7.662007994,34.57030195,19.88622679,148.8185989,0.052165515,0.318014945,0.383161748,18.42116206,0.808157153,0.815246906,0.506489978,0.480708532,0.512310152,0.545200952,0.501456122,0.306062433
18,314.7616935,25781.847,470.27011,499.63564,12124432,15.345321,646.68128,114.5751296,107.4738145,160.7169529,110.7752686,116.1061944,5.262098691,1.260328082,1.227559489,2.653314507,3.381530081,36.76645426,23.43639791,144.7169529,0.036361315,0.178407017,0.229328982,85.61143426,0.737740308,0.703867535,0.404325283,0.451521141,0.407629088,0.483339251,0.534530846,0.345338307
19,174.3836569,24517.071,229.9973,499.68441,5638860.1,0.12352587,1114.9739,78.5916351,80.47143626,164.1233463,74.7953779,68.7750814,11.11677371,2.411969271,2.680623997,13.9971813,12.13896273,30.29479379,14.38289577,148.1233463,0.075050787,0.42636595,0.412645432,13.44078434,0.788778979,0.857825547,0.519735556,0.528133181,0.582544126,0.543423366,0.481906431,0.229391067
