,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,282.9788437,29786.183,406.6079,499.6192,12111297,10.29958,721.52741,115.1428228,103.7243563,177.7170216,97.53588555,99.50843637,7.158071158,1.214336259,2.280365906,5.834706288,4.390893987,28.54098849,24.1557914,161.7170216,0.044262942,0.255023261,0.328901005,52.69319807,0.703292409,0.689351078,0.380255582,0.507302661,0.553863914,0.372026399,0.36851515,0.325732834
1,267.4436889,31130.251,396.62602,499.65128,12347068,9.7164458,769.95693,124.099649,114.2389883,186.3232124,86.16753255,102.7421018,5.250748621,1.065214747,1.669471716,3.947284987,3.282246667,45.73062828,33.39596503,170.3232124,0.030828145,0.248211082,0.307946427,19.24439092,0.768326987,0.644378881,0.413626002,0.494477759,0.509534899,0.356999847,0.547057494,0.397341054
2,267.2665243,29895.147,402.4032,499.68401,12029903,7.9034971,755.29262,126.098123,103.5291588,182.4158625,88.88822786,101.236287,4.982478142,0.975190195,1.581290347,3.426827891,3.143094286,22.36587486,30.23513785,166.4158625,0.029939923,0.218884474,0.358688048,15.07027828,0.757568029,0.665165442,0.382577736,0.482276538,0.488407427,0.341933046,0.270734786,0.38790056
3,282.1193413,30316.733,424.88936,499.62041,12881257,13.011694,726.10443,128.9712725,113.7765415,183.8074231,92.85942412,103.4374875,5.194155435,1.072739857,1.48468421,3.686217004,3.636632701,30.8368497,31.14977771,167.8074231,0.030953073,0.206883458,0.300324364,24.17679629,0.733288877,0.658298886,0.426235498,0.495251931,0.51545975,0.422844324,0.370140838,0.382139612
4,248.2183045,29120.747,370.01412,499.61193,10775088,3.4230268,803.68396,115.3327531,101.4596204,178.1535008,87.26329799,96.87871074,6.10477533,1.207352357,1.816151817,4.732921518,4.130384311,27.43617377,26.06935433,162.1535008,0.037648125,0.260918327,0.349820897,17.55279829,0.780592801,0.703117348,0.407890994,0.47585329,0.515135674,0.374813794,0.349177981,0.344507383
5,275.0832923,29987.27,418.27645,499.675,12542969,10.573709,739.34117,126.8500552,116.5011918,183.0801693,92.52513359,102.3488918,5.151472462,1.00233056,1.545457014,3.685984076,3.024343511,29.07696009,31.59773487,167.0801693,0.030832339,0.216630173,0.280540176,21.38318182,0.744130194,0.672706312,0.398014813,0.473029332,0.511144672,0.365783588,0.351175238,0.384561521
6,215.1634446,30034.44,300.92875,499.64359,9038226.7,1.4392538,924.01632,93.57188703,99.36731369,185.5505798,79.18682294,78.11235905,7.076128706,1.559178066,2.10763133,7.905623775,5.258792491,27.20160841,32.35520341,169.5505798,0.041734618,0.424082455,0.388412682,16.42881722,0.726074628,0.736062049,0.444478813,0.463973226,0.504265746,0.358042906,0.360417843,0.412911646
7,234.9021544,31761.212,335.2752,499.65957,10648747,3.9355586,858.99552,104.7897836,109.3994529,191.3615412,82.35724455,82.21048303,6.227026514,1.386665022,1.913961752,6.614353019,4.358781771,32.68764714,34.83279127,175.3615412,0.035509647,0.380435248,0.353180792,16.10324871,0.699955122,0.701204676,0.461523287,0.478022988,0.517500101,0.357010683,0.397185446,0.412524223
8,246.2111534,31494.323,359.94935,499.6299,11336361,5.1147004,831.96736,115.9532787,112.922871,188.8645951,92.22166837,85.87201507,5.183826415,1.60572408,1.708002379,5.048834265,3.190090817,49.93578939,44.98281242,172.8645951,0.029987786,0.308487911,0.326560393,14.30459607,0.697547726,0.749126651,0.688842352,0.50713714,0.550323048,0.350300393,0.582513457,0.540624929
9,218.8817822,30582.917,309.86998,499.61382,9476728,2.996278,916.32599,102.1598325,100.2103762,188.122108,86.44370948,72.92314624,5.911297047,1.459274367,1.930918735,6.466188232,4.063012893,39.71912385,36.43314461,172.122108,0.034343625,0.385359882,0.397088699,14.56211715,0.666324493,0.789866645,0.488951684,0.494910067,0.495119934,0.339983299,0.482483502,0.465542778
