,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,325.9841184,21351.91,497.73739,499.65608,10627644,15.804608,606.46628,91.34221059,109.743689,142.5470317,120.4649514,122.9162005,2.876042421,0.900863948,0.87745103,1.352448253,1.059066202,25.92732448,11.48505406,126.5470317,0.022727063,0.261409559,0.112615742,106.4967403,0.754123858,0.739084787,0.491386259,0.454081768,0.362557653,0.32811718,0.457120652,0.188240893
1,312.1740387,35834.132,414.50763,499.61951,14853521,43.450411,698.88098,132.5287423,131.0072302,202.3912355,90.84459321,93.19258339,5.962947051,1.249312051,1.511928348,5.109705716,3.977019595,41.17845431,31.30600347,186.3912355,0.031991564,0.265476919,0.273909699,47.11655408,0.597055308,0.58201248,0.439261357,0.420087968,0.523034488,0.396426708,0.435979591,0.330955128
2,159.6831035,23374.013,204.90492,499.66419,4789450.3,0.00776165,1215.9812,72.38016035,71.44490638,161.3533136,66.57253027,67.74704595,10.72105744,2.593590464,2.272512494,12.57331542,13.97861639,31.6315896,16.04824009,145.3533136,0.073758604,0.462386189,0.469332919,14.92278279,0.848518653,0.833808071,0.498854912,0.481854513,0.515058307,0.560101252,0.537042171,0.274129184
3,207.0268824,31256.304,275.313,499.62993,8605266.8,3.39E-08,935.50766,102.6225177,101.8173965,199.0536881,30.61263145,95.75236909,8.409775855,0.764821439,1.822651988,13.30247735,7.409082159,36.5386943,28.8416677,183.0536881,0.045941581,0.412389952,0.417000025,1.781847034,0.925023533,0.295735811,0.432094973,0.26354594,0.789526987,0.17763806,0.457476747,0.300171811
4,316.4413912,41118.161,359.47298,499.69415,14780868,2.89E-06,699.99198,124.4250248,146.385718,219.0298034,75.81758745,77.57159413,6.333661543,1.330154148,1.689066314,6.925011215,5.35259399,46.76610252,31.61804659,203.0298034,0.031195723,0.367425189,0.25577738,23.66995528,0.490274637,0.479188814,0.400562128,0.487936897,0.475703166,0.453452152,0.460514315,0.285656674
5,386.5530969,31826.799,285.92451,499.63549,9100062,2.20E-06,645.16846,126.8224077,156.7218733,194.8276007,41.42983779,118.0823963,7.096761947,4.149497924,3.159675158,2.897536301,1.289539904,25.56921159,20.92297872,178.8276007,0.039684936,0.261504756,0.087398196,73.10935036,0.610950461,0.214355224,0.813830316,0.510252483,0.281541892,0.127436441,0.302334768,0.202234213
6,343.1932933,29283.931,473.48785,499.63718,13865586,38.837208,627.6397,120.553939,118.7600631,175.3678442,111.4006837,114.1807806,4.760543935,0.98977683,1.271916856,3.695367102,3.075218035,42.22922868,31.28148466,159.3678442,0.029871421,0.220257137,0.231859926,102.0854154,0.665402167,0.64920082,0.493300111,0.504809746,0.578527258,0.47073349,0.551387328,0.408615676
7,269.7803246,36935.821,364.7476,499.62611,13472252,23.428255,789.16818,129.5102217,127.6275543,211.1023343,80.35616098,78.83554349,6.055360864,0.85403081,1.174536664,7.647889436,5.707785163,50.53884381,51.45441126,195.1023343,0.031036845,0.314930997,0.324889725,10.75988125,0.584442499,0.595715504,0.380029219,0.363194045,0.628878154,0.465942733,0.50093347,0.516114483
8,181.4086869,24992.497,244.44421,499.66871,6109271.3,0.064223247,1075.6114,80.22602829,82.40879258,164.0164547,75.24309708,75.95802667,8.119528331,2.075963952,1.690845346,8.451517045,9.318820592,31.90462934,16.64743561,148.0164547,0.054855579,0.426534733,0.410932072,16.59110172,0.837424359,0.829542382,0.51752248,0.481454005,0.505962646,0.567467962,0.505945845,0.25863156
9,263.0024532,21923.21,438.65698,499.68253,9616769.2,2.4181079,716.00529,111.3414405,105.2737918,146.0197816,109.0732502,104.7031571,5.156244043,0.159261906,0.496640073,5.49696194,4.573199727,19.74904507,28.54614507,130.0197816,0.039657381,0.108295003,0.156889242,40.3195723,0.7962143,0.829446637,0.492238866,0.373069694,0.937251617,0.74182254,0.315477545,0.463428148
10,231.0262531,34744.942,308.54507,499.68957,10720381,8.7733124,881.0901,108.8506842,110.1248933,208.0019377,69.09340653,66.26662249,10.51016683,1.407133325,2.532496424,15.96323486,11.40617454,40.58791685,17.37506478,192.0019377,0.0547399,0.40024452,0.393223766,10.77646654,0.573671794,0.598143333,0.325511628,0.429720775,0.588699601,0.439271177,0.441824187,0.189190218
