,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r
0,368.0203448,25947.306,505.3891,499.65384,13113485,64.830051,592.10256,112.8614256,139.5729249,171.2999556,117.110996,119.9420381,3.11266135,0.145205432,0.842980483,3.410504481,1.606669214,47.53887576,21.71792879,155.2999556,0.020042899,0.258404415,0.082887139,88.87449497,0.651822867,0.636437619,0.226270441,0.504851973,0.793831094,0.463559463,0.651034593,0.281756683
1,326.1611038,34812.539,442.97359,499.66278,15421035,61.309508,673.29542,150.5163174,139.410807,204.0771071,97.64010957,94.61529069,4.381302631,0.753496543,1.205749211,2.771953624,3.317868339,8.268672057,37.08676013,188.0771071,0.023295247,0.18062191,0.241077893,25.12846911,0.580175193,0.598723198,0.31188908,0.53757237,0.448585931,0.488062674,0.083773267,0.383978596
2,115.9085432,12999.003,97.989563,499.69714,1273766.6,1.75E-05,1558.7844,53.83637769,7.746643304,116.6022389,54.1834658,53.23625842,22.83713155,6.766217713,2.582602043,17.69197945,47.21478814,5.137400273,0.679076091,100.6022389,0.227004208,0.307705222,0.900384072,8.235787768,0.918590761,0.934934809,0.5939267,0.385341086,0.501148176,0.706525333,0.138014074,0.100729455
3,181.3898216,22657.001,178.45647,499.61278,4043288.5,5.75E-09,1069.061,46.71743473,56.71535561,163.4773198,65.33260904,64.52895719,43.58637775,19.20334538,7.232318602,48.12846439,61.06108345,20.15147109,16.03515778,147.4773198,0.295546311,0.550322349,0.45408758,67.95911041,0.711494797,0.720355844,0.875786092,0.585061426,0.496930404,0.716387541,0.534274522,0.366686635
4,326.081209,39184.863,389.66787,499.69948,15269082,2.75E-07,692.64747,153.5831511,130.9472731,214.6305403,90.82089771,80.91883739,4.035894015,0.517245466,0.911087021,3.002513615,4.426591607,8.250098248,40.53490752,198.6305403,0.020318598,0.210753461,0.327076692,18.9149068,0.49631095,0.557044658,0.236022141,0.525826533,0.456994542,0.57068347,0.075616213,0.404250244
5,220.1324627,26945.397,318.33246,499.67297,8577594.3,0.60358095,889.69716,82.50431709,100.4339245,168.1053443,93.24682362,81.52821209,6.062778344,1.190062385,1.321580223,6.400834157,5.17841023,11.39867189,20.84222774,152.1053443,0.039859075,0.435066643,0.312296906,19.26461375,0.740719575,0.847188302,0.405321877,0.466829085,0.515718373,0.533056931,0.176087037,0.294494621
6,322.0304915,25650.587,485.42789,499.60862,12451510,20.416956,632.98816,112.4277811,116.7984834,162.9517987,114.6299544,112.9533937,4.38468504,0.760772047,0.343799743,2.628114078,2.524019662,12.475813,30.19794103,146.9517987,0.029837573,0.211404523,0.180747366,88.4335247,0.701507445,0.71191988,0.321559829,0.145365437,0.46042185,0.460606156,0.178253714,0.427455648
7,136.8028024,20158.036,165.1686,499.69075,3329474.5,6.12E-07,1389.8173,60.9264625,58.6966398,148.2036869,60.41260732,61.25728086,9.905739749,2.294893614,0.673047907,13.9493022,12.70719387,10.14626716,12.28905578,132.2036869,0.074927863,0.501819418,0.520052126,14.94987739,0.895555936,0.88320716,0.554944358,0.139272471,0.582529105,0.512141603,0.20094563,0.250083886
8,283.8556208,38274.727,360.03974,499.66618,13780423,38.802633,760.68566,130.6074743,123.204374,213.687753,79.69455028,72.42237417,7.005788052,1.104616241,2.287278562,8.384853715,7.385041827,11.5203408,27.84990889,197.687753,0.035438655,0.315050722,0.353875056,22.64067226,0.510276132,0.561514689,0.36016826,0.638539337,0.56222698,0.48870163,0.110854237,0.282794159
9,239.0172054,36881.295,307.50076,499.65771,11341026,15.888138,860.66047,102.3962481,109.9865108,214.1948094,65.73374273,60.02928404,7.238749046,1.093559973,2.10504869,13.95691434,8.847195322,10.46735735,24.08503182,198.1948094,0.036523404,0.463770629,0.42402189,19.04418392,0.502300945,0.550033564,0.370165456,0.513471914,0.591884398,0.433653878,0.114901725,0.25379597
10,310.5648276,30916.643,476.467,499.64046,14730760,37.826149,674.28397,149.1992988,146.3269959,196.1569173,99.97343232,100.4389402,3.988764672,0.721635104,0.910614804,2.532607653,3.058417246,12.14706834,25.22973889,180.1569173,0.022140502,0.153085863,0.169390189,12.16622991,0.64681465,0.643816836,0.352622826,0.53254939,0.486939223,0.571316863,0.130636689,0.2713594
11,182.0396781,28484.266,242.99053,499.67455,6921406.8,6.96E-07,1067.9803,81.93127565,79.77054042,186.7209624,71.70823463,62.13067419,6.439056105,1.05295073,1.52100965,10.73254672,8.888148789,12.68740643,21.44527758,170.7209624,0.037716845,0.501276327,0.514428934,18.17712682,0.682605845,0.787830822,0.370166838,0.478852979,0.558238024,0.506704031,0.177156898,0.314135986
12,322.8298062,35859.065,422.14661,499.63001,15137783,69.376039,688.28984,149.2454554,144.9254151,208.0587783,99.49509794,83.94270308,5.326193542,0.99216966,1.759964211,3.838556022,3.969625508,9.373661213,33.02502318,192.0587783,0.027732102,0.200753015,0.223887918,24.33889531,0.520043078,0.616393505,0.349788972,0.654657972,0.467446938,0.495254528,0.090967948,0.334498036
13,354.4243827,31276.249,411.62192,499.66717,12873990,4.79E-07,677.25688,165.0290034,154.2706484,202.7485123,70.24486581,120.6928185,2.868849281,0.26901051,0.095294204,2.678541497,3.503527553,46.77335324,32.29570645,186.7485123,0.0153621,0.102516283,0.161023868,24.36637583,0.681063857,0.39638845,0.466880146,0.175309364,0.799157273,0.810524247,0.493247388,0.30708604
14,115.4635928,16769.113,120.35293,499.6236,2018211.8,2.03E-06,1457.2138,45.59813974,37.45735017,136.0774354,52.54992495,52.09278199,14.25850546,1.923493636,2.419561859,25.86660198,24.7854505,9.618763568,11.03166295,120.0774354,0.118744254,0.569092791,0.646024107,24.2673133,0.90232394,0.910242332,0.416054156,0.414806228,0.675759782,0.590911327,0.247391944,0.338024523
15,267.2660632,39310.663,329.76811,499.68007,12963403,1.34E-06,788.80362,116.0729026,120.9397609,218.5591055,74.19700715,58.51068769,5.625178311,0.901643574,1.938931913,9.137600303,5.041969395,6.42519689,43.79006793,202.5591055,0.027770553,0.410599767,0.385886613,25.38654133,0.437845995,0.555229544,0.338207876,0.542817306,0.526069257,0.365001674,0.062880822,0.434923241
16,150.9929829,22834.317,195.72653,499.64369,4469281.5,0.020469579,1278.8564,69.17727797,70.37358945,161.2685766,65.43043346,65.59458873,6.296838045,1.040869079,1.36740865,9.119115887,7.598600582,10.87096137,16.93244989,145.2685766,0.043346181,0.502220533,0.493612225,10.24580401,0.868842875,0.866668533,0.387778035,0.420215003,0.573724494,0.483221728,0.187308556,0.287643742
17,310.0939231,35881.116,417.98145,499.66441,14997641,48.366742,700.53156,144.6842734,130.4490788,206.0842121,90.57431704,91.19923015,4.442073295,0.552623799,1.118983978,3.666341132,4.054792903,8.831891362,25.94820312,190.0842121,0.023368975,0.220628063,0.2973089,20.72537635,0.588203917,0.584173441,0.267028644,0.516942881,0.534107184,0.512700923,0.088301789,0.268335626
18,263.3793129,37924.924,336.51952,499.67903,12762477,26.148167,802.54899,114.5552591,121.8575922,214.3278913,74.75016902,64.81092418,7.756283066,1.326627871,2.003375563,11.22591649,9.131015074,13.88846214,36.21293989,198.3278913,0.039108383,0.398886014,0.36056796,19.66412857,0.492148935,0.567623692,0.366439754,0.53463727,0.533240804,0.516886147,0.141794915,0.365158675
19,211.8666458,34060.394,268.27986,499.65973,9137717.7,3.04E-06,940.97197,94.34095526,96.8234922,209.518927,60.72802394,50.55892176,18.60858582,3.709272939,5.641450158,34.90458565,26.31374098,17.81558723,27.36017718,193.518927,0.096158996,0.46063249,0.446439293,18.21966142,0.477271178,0.573266488,0.433129874,0.588824785,0.539788695,0.48513745,0.209796024,0.324989698
20,310.6191839,38124.264,391.80062,499.61179,14937110,60.843052,715.10855,143.8344539,131.3237109,211.9898017,90.91135461,79.68909186,4.776150393,0.755947795,1.333142331,4.162201519,4.288847921,8.683589957,39.39793667,195.9898017,0.024369382,0.247781459,0.313209544,22.95027615,0.513098327,0.585355698,0.313866518,0.540680306,0.495723393,0.483752485,0.081909469,0.397438792
21,293.0107368,27925.812,443.43492,499.64848,12383280,12.038788,691.58583,102.052974,128.5374869,173.2301965,106.1915937,102.535785,5.33267151,0.586207696,1.434903797,5.498228771,3.179139543,34.55314444,24.84743931,157.2301965,0.033916332,0.328145906,0.153788141,35.935763,0.699877323,0.724830734,0.309833677,0.516734816,0.645204533,0.479272842,0.481150387,0.320693557
22,165.9035375,24109.433,221.72564,499.63699,5345679.5,0.014960273,1169.2589,75.22775346,74.97179498,163.4183161,70.22535776,71.36018072,6.196655585,1.011775843,1.198654284,8.207595412,8.346456227,10.07647665,21.20906026,147.4183161,0.042034503,0.467307259,0.469119718,15.4480306,0.860261111,0.846580595,0.388001524,0.461698533,0.579182768,0.581034668,0.16437627,0.345688262
