,Leq,Mode1_Q-factor,Mode1_R_divide_Q,Mode1_frequency,Mode1_shunt_impedance,Mode2_R_divide_Q,Mode2_frequency,R3_left,R3_right,Req,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,random1,random2,random3_l,random3_r,random4,random5_l,random5_r,random6_l,random6_r,random7_l,random7_r,random8_l,random8_r,distance_499.8
0,311.6477321,24862.647,524.44647,499.60667,13039127,25.486828,638.96502,134.9293297,140.0755026,173.4072439,109.9927708,108.9751094,2.874212757,0.463805809,0.549158559,1.982570625,1.482526912,15.38798155,17.06763677,157.4072439,0.018259724,0.126857678,0.093556235,31.49672698,0.699348002,0.705878846,0.381273046,0.348938285,0.576765398,0.452441882,0.194865456,0.216308282,
1,313.8948858,30628.867,477.72394,499.60079,14632143,31.303549,671.37221,135.4885443,140.2445442,188.0256415,103.1336763,107.3043934,3.492709515,0.86639374,0.992787441,2.450310259,2.033778797,41.19620736,30.24746456,172.0256415,0.020303424,0.196070805,0.167850802,33.40579739,0.683696347,0.657122374,0.514663428,0.511309819,0.518019431,0.44408336,0.475709582,0.344756441,
2,177.1247153,25097.937,241.67607,499.69812,6065570.8,0.055337807,1102.8856,77.6987916,78.46468736,164.9872281,74.3689962,76.54163753,4.238229721,0.829995123,1.000421437,4.412584266,4.684620707,30.37002232,19.90387205,148.9872281,0.028446933,0.463217069,0.45792587,20.19534058,0.864268291,0.839735958,0.370957512,0.467859503,0.472081504,0.495474593,0.485341566,0.31378908,
3,294.5857397,39189.806,359.43704,499.66477,14086268,2.66E-06,742.91669,116.2742937,131.0155501,213.3277223,71.61302261,83.95385878,4.648218633,0.97500307,0.995313087,6.249877881,4.704039205,53.07517625,32.58079683,197.3277223,0.023555832,0.396540413,0.320033799,32.55463947,0.56997911,0.486194768,0.51710727,0.39954684,0.594361851,0.464073211,0.562103421,0.309953081,
4,218.2540404,26036.021,330.66134,499.69956,8609105.4,0.39803599,897.93823,98.2431044,94.83961386,163.1623837,88.60016947,93.88268376,3.562028213,0.648503316,1.186670356,2.626880196,2.752987532,31.56112559,20.85136152,147.1623837,0.024204747,0.315857513,0.339558642,21.76783163,0.86030649,0.811899466,0.338864137,0.613342669,0.462734149,0.456837773,0.457168293,0.303683733,
5,283.2851418,25810.872,457.33403,499.62449,11804190,6.2203473,700.35963,113.7042637,113.5382129,162.1633062,107.7739157,110.8053196,3.059146024,0.612682531,0.884559243,2.091176794,1.909439792,33.31132894,27.33207696,146.1633062,0.020929644,0.205444038,0.206604387,55.87661447,0.782288255,0.760886469,0.422404954,0.551821405,0.525860337,0.476003756,0.471075962,0.384793135,
6,329.2159992,21235.372,521.81633,499.67438,11080964,17.967097,598.34555,106.2643944,107.5391809,142.3475807,121.7925995,123.4054068,2.316698311,0.557403603,0.58067575,1.455165873,1.235036496,25.34334466,19.91348764,126.3475807,0.018335913,0.143242455,0.132964478,114.1376374,0.749692647,0.739894779,0.527830707,0.469185632,0.544167132,0.465780787,0.419107278,0.32766934,
7,192.9757841,30333.416,261.15291,499.61076,7921659.9,0.88819003,1019.9592,86.51235177,87.24537145,193.6109106,68.1177122,67.77310524,4.55384409,1.03740708,1.226585156,6.536987395,5.507829763,38.47612003,18.32264878,177.6109106,0.025639439,0.500093504,0.495857793,18.48504124,0.702400102,0.705971607,0.451269409,0.465760056,0.495181624,0.421694521,0.512125341,0.242415451,
8,251.3869814,33558.121,357.80957,499.69724,12007417,8.5099955,817.24474,116.5113243,110.6703971,197.208592,80.69423464,87.35042218,4.636484594,0.888367381,1.151934143,4.732302516,4.373235825,40.94741209,34.66314016,181.208592,0.02558645,0.340148758,0.373228316,18.36433273,0.694947859,0.641992153,0.413709401,0.449676517,0.536864158,0.447491935,0.460985979,0.395005845,
9,219.0384314,30649.513,303.29892,499.61486,9295964.2,7.6078416,919.89117,91.97082545,99.9871048,187.8546546,65.45211326,92.00342788,4.47951346,1.040577461,1.178689119,4.506993164,4.475308334,33.61006283,25.43245955,171.8546546,0.026065709,0.450510841,0.402616756,19.06422175,0.840066534,0.597631318,0.443543461,0.442472771,0.476270077,0.405321992,0.460512976,0.305202218,
10,289.2646628,28710.206,465.96611,499.69167,13377983,13.241292,704.36221,131.4716107,130.5028551,179.6028716,102.5647987,107.5629905,3.436221318,0.750275656,0.977353859,2.329512385,2.26573901,39.55006588,33.91957072,163.6028716,0.021003429,0.179157394,0.185205817,26.32144148,0.743699486,0.709141571,0.455625548,0.563992552,0.520783615,0.495690284,0.483253024,0.411474515,
11,241.4158079,25885.681,386.71855,499.68283,10010473,1.1876934,810.10806,109.517219,109.2859459,163.4181951,98.00249572,99.30649276,3.692112221,0.720301917,1.038082974,2.701875133,2.535692613,33.38762839,27.99267858,147.4181951,0.02504516,0.238014306,0.23962343,22.38136999,0.82270083,0.811897916,0.408066833,0.547657335,0.521911408,0.486608982,0.466579028,0.390432915,
12,304.3370305,28735.926,477.81849,499.62505,13730557,22.274347,673.05469,124.1067956,138.0230225,181.2581868,104.6197113,106.3588816,3.397124513,0.596174946,0.835541957,2.601926856,1.904920762,27.87514116,20.83776243,165.2581868,0.020556467,0.233251075,0.147274703,28.29098541,0.698954586,0.687525347,0.382227042,0.445046968,0.540864528,0.447349011,0.341662856,0.249065135,
13,186.5156437,25748.296,260.94356,499.68618,6718852.1,0.33650455,1049.9797,81.40085442,83.5655242,166.3480557,75.81957623,81.84840493,3.771506314,0.845721652,1.158932921,3.365553174,3.485348377,30.60147255,18.45620486,150.3480557,0.025085169,0.444652949,0.429884763,19.38459526,0.877657266,0.81301037,0.393496101,0.542518714,0.430134748,0.433592837,0.476813868,0.277452007,
14,322.2120778,22461.78,522.96994,499.67701,11746836,22.552752,615.67358,115.7489033,116.5494691,151.0042951,114.9331627,123.1302148,2.43574526,0.548101879,0.62092354,1.46571595,1.391641417,30.78198415,21.43469331,135.0042951,0.018041983,0.126875088,0.120836207,89.1131396,0.764280567,0.713400711,0.473876223,0.507035665,0.525141183,0.497231859,0.470125496,0.324386924,
15,272.2534801,32080.448,392.18729,499.69562,12581544,12.024154,757.65517,125.5354931,96.98048994,187.7795535,91.65339225,96.8986551,3.667613535,0.865767407,1.050067621,2.366150788,3.355402393,42.94491563,24.58054225,171.7795535,0.021350699,0.25326248,0.42311956,21.18249398,0.711826751,0.67329455,0.407843631,0.518717317,0.421206052,0.448045913,0.497261769,0.323346717,
16,199.3675449,25701.826,288.4287,499.68762,7413144.3,0.3110506,982.62813,89.32981171,90.58108381,163.6835484,81.62733969,86.76711168,4.459166141,0.833569345,1.108903493,3.985236989,4.094947568,30.79117564,23.18459388,147.6835484,0.030194061,0.376294662,0.367558216,18.20537728,0.870423636,0.818862867,0.371613097,0.497845875,0.496966313,0.500488853,0.462923091,0.340758025,
17,260.289016,26524.42,419.71986,499.69246,11132826,3.3505839,757.66023,111.5163372,118.5640389,167.190412,104.1532528,100.2194218,3.721495699,0.690506348,1.049934071,2.773372674,2.334215095,34.68495687,28.17512063,151.190412,0.024614628,0.243797677,0.196006576,23.16093812,0.770062627,0.800289266,0.390120776,0.539297257,0.524389893,0.476861965,0.472106089,0.379057195,
18,310.4478215,21827.275,514.89203,499.6876,11238690,15.227324,627.2282,111.2715457,112.4842502,146.593154,114.4065346,122.3264021,2.307591749,0.490926278,0.647039621,1.436318559,1.197298948,29.00116398,19.70710828,130.593154,0.017670082,0.132626121,0.123172957,85.479321,0.788064168,0.737041955,0.464355798,0.51178001,0.54185133,0.452116049,0.459821949,0.309336617,
19,235.3446539,29676.482,345.41105,499.63009,10250585,3.021173,851.96226,106.6290104,108.4573396,181.3519754,83.76848076,92.95255522,5.760341048,1.162169378,1.657372662,5.278950279,4.568927926,39.30278774,29.02533034,165.3519754,0.034836844,0.33186341,0.320407113,18.42997476,0.78992706,0.71187919,0.431638344,0.518508197,0.532586542,0.445097927,0.505051963,0.360873783,
20,290.9525233,26118.296,474.73523,499.62863,12399275,9.7261774,684.87587,119.8056945,123.8023516,166.8403473,108.4377648,109.4008926,3.600172395,0.745826777,1.166199731,2.395049928,2.063078765,32.40551085,29.62150623,150.8403473,0.023867436,0.186324693,0.159180898,43.34782,0.752018861,0.745398346,0.430722736,0.602572328,0.519031231,0.462423277,0.439203719,0.398024662,
21,215.5255222,29632.991,298.20896,499.68289,8836823.2,1.8603945,924.3669,99.74480572,98.87866046,184.4698843,72.43934103,83.05839387,10.97113699,2.082000491,2.654295836,10.09379341,12.22012119,38.96251767,27.66419922,168.4698843,0.065122244,0.366694609,0.372193988,16.03591076,0.77075228,0.672211256,0.365543495,0.516407243,0.480853261,0.531504565,0.511044994,0.353570519,
22,319.7305653,26307.55,512.53993,499.61115,13483670,26.387513,640.10553,128.4447691,131.5393862,170.6996024,109.9238611,116.3467425,2.773478544,0.501632855,0.708984851,1.941496309,1.473588684,35.69294818,26.5624758,154.6996024,0.017928156,0.154557716,0.134188493,56.65179287,0.72777992,0.687603082,0.423435633,0.457983878,0.572856541,0.44183583,0.467102461,0.343591356,
23,293.0123719,27713.498,476.53977,499.65562,13206584,19.415317,691.89336,134.2492099,135.9647406,178.8135818,100.7113085,110.245684,3.602238256,0.702112544,0.955822074,2.222776297,2.196686874,31.42198753,34.663332,162.8135818,0.022124925,0.15678615,0.146010972,21.0828908,0.752498492,0.687420179,0.384406742,0.51531251,0.492958738,0.485086905,0.386521728,0.419711142,
24,250.9716146,29398.795,379.24607,499.68274,11149378,7.2704353,803.94571,112.6637184,115.1716805,179.6683045,85.83050081,101.456675,5.1237742,0.96130747,1.423464423,4.073309449,4.003204244,36.71007356,31.13301806,163.6683045,0.031305843,0.289387542,0.273568881,20.62825363,0.808511155,0.683985724,0.385238453,0.534852423,0.512984589,0.480575217,0.470619871,0.380773756,
25,180.2404928,25433.445,248.86478,499.68572,6329488.8,0.048866241,1085.6103,81.84623622,81.00802374,166.4472525,76.33215332,76.23765829,4.535706404,0.945765653,1.043890915,4.894103527,4.858321988,32.36669442,23.08239909,150.4472525,0.03014815,0.439069502,0.444814164,16.54802034,0.845954836,0.84700338,0.419276329,0.45594774,0.502677328,0.495228164,0.495564094,0.356139663,
26,278.4455654,29523.285,444.49738,499.68236,13123023,15.023797,731.41898,131.3173258,131.9491256,184.6053043,94.87790792,106.3094223,3.096593919,0.664594575,0.457346119,2.29251699,1.788737843,28.82816015,36.41205774,168.6053043,0.018365934,0.206583596,0.202766276,14.54731433,0.763592138,0.681482629,0.46613771,0.249649071,0.539575637,0.40839643,0.340593635,0.420077679,
27,228.8987903,27275.932,344.84109,499.61528,9405862.1,0.91052029,862.14336,105.3826234,99.49818379,169.4624389,89.14095396,94.14906786,5.054372726,0.875746756,1.350113445,4.182496459,4.227417554,31.91639091,29.70304443,153.4624389,0.032935569,0.289913102,0.329563505,18.13354348,0.822626172,0.778867847,0.369950699,0.529055934,0.531653348,0.495104608,0.436413132,0.412635731,
28,276.2231953,28852.294,440.00555,499.69416,12695170,8.157556,732.32619,124.9762754,124.7996972,178.4662076,101.4439716,103.4561739,3.588047062,0.736681004,1.048588262,2.562479113,2.359358229,39.43166436,32.61355859,162.4662076,0.022084882,0.213382916,0.214494322,26.27064452,0.749076657,0.734507263,0.425532153,0.554308153,0.517509285,0.472775486,0.487714227,0.401970477,
29,203.991681,27980.662,281.30693,499.60477,7871153.9,1.8940371,968.25285,79.7768329,88.30543615,175.0801038,75.23501533,85.5739001,4.421154085,0.795208729,1.773074189,5.61139265,3.286145162,32.07645785,15.69113765,159.0801038,0.027791999,0.484175775,0.429031192,27.38080868,0.838994019,0.73762827,0.424112831,0.603543982,0.575904098,0.335519358,0.499376738,0.220312814,
30,317.350545,26542.19,508.85549,499.60652,13506139,23.066446,644.75315,129.1280364,129.7298762,171.2299883,111.9085082,113.505414,2.880282599,0.661578431,0.725392078,1.805334882,1.637114335,38.17439994,25.23793311,155.2299883,0.018554937,0.15242346,0.148473077,57.89079263,0.715331458,0.705267471,0.470238303,0.470738297,0.511540865,0.464994587,0.495927735,0.326935814,
31,250.3031971,26548.527,400.46585,499.67965,10631778,2.2798396,786.9393,110.5476406,113.081203,166.3430537,98.02393788,102.4069049,3.558022161,0.776338467,0.995600222,2.312151244,2.394291868,35.70758403,27.44950742,150.3430537,0.023666023,0.246873884,0.229613525,24.14079104,0.81826286,0.783241597,0.403596277,0.538339547,0.45937602,0.480219418,0.491661193,0.371646696,
32,211.6710822,25891.316,316.05868,499.68372,8183175.1,0.2314255,926.31727,94.59264395,95.84755,163.1201075,89.13986053,89.13840031,3.771411173,0.743942187,0.902830881,3.070136395,2.927200468,32.9690577,24.38361496,147.1201075,0.025634913,0.34012205,0.331367829,19.97598219,0.842235032,0.842248829,0.381254778,0.448189967,0.482607643,0.465878092,0.482106824,0.354016573,
33,267.1588255,26813.472,438.1821,499.67002,11749184,4.6127449,740.77614,122.0683278,120.6929309,170.1225681,102.3972307,104.7105108,3.445454433,0.69826038,0.963451176,2.302919751,2.219150827,35.83546891,29.5694313,154.1225681,0.022355288,0.189868157,0.198996264,23.02216994,0.783882102,0.766564462,0.41382654,0.5403733,0.51027469,0.482525066,0.469595856,0.386968949,
34,193.6880695,25694.674,277.19939,499.68429,7122548,0.12116864,1011.8083,86.10891617,87.57495929,164.3900457,81.28526761,83.08220967,3.986716363,0.649896735,0.986112868,4.154574867,4.030525415,31.0615928,23.31685473,148.3900457,0.026866468,0.403691614,0.393539195,18.53815089,0.857897029,0.839342019,0.355809502,0.522667734,0.541846008,0.526755476,0.470947069,0.347894956,
35,294.809162,26621.479,481.35172,499.62577,12814295,12.250547,680.13646,122.4161791,128.2374164,170.2383245,107.6697846,109.7993913,3.397178064,0.69643319,0.946232866,2.267685024,2.001421195,34.19717704,28.08869992,154.2383245,0.022025512,0.188443061,0.149851221,38.33432921,0.744884525,0.730437167,0.42418977,0.533901727,0.516717623,0.478302937,0.451125068,0.366009661,
36,216.3101306,29595.345,308.37979,499.62949,9126606.5,4.1102794,926.14662,95.84640029,98.72063733,182.649048,71.39152935,92.55198602,4.220721133,1.198624917,0.572655728,3.134790437,5.168375853,37.60150072,30.94910553,166.649048,0.025327004,0.409915733,0.392220315,18.86885595,0.855734179,0.660084936,0.458506506,0.300479663,0.380628611,0.548464535,0.509241609,0.387703797,
37,264.3118508,29351.138,407.26283,499.68859,11953627,8.2227809,764.32667,116.5031918,121.2487846,179.4958223,92.57605336,102.8003369,4.63168966,0.857379878,1.294429725,3.663881555,3.267252199,37.12933106,29.38607873,163.4958223,0.028329101,0.266648866,0.236776845,21.81428171,0.777871568,0.700506262,0.393526838,0.532122838,0.529608487,0.474797087,0.469801993,0.358358491,
38,245.5781751,29555.917,372.51466,499.6926,11010012,3.354389,817.48997,113.3273941,112.9786357,180.5643892,89.81603669,95.46127997,4.814838323,0.954714688,1.374022819,3.902133309,3.76231031,38.12130945,32.22025253,164.5643892,0.029258082,0.290593348,0.292776505,18.92338697,0.777441073,0.731465951,0.402263405,0.542627657,0.507074404,0.474091353,0.477987504,0.398969025,
39,182.9072319,26525.906,251.86974,499.68855,6681073.1,0.36218413,1071.3309,81.38038709,81.15247943,172.528099,70.87579619,80.12131722,3.39466768,0.780177175,0.861357838,3.077962065,4.054381971,32.21095477,18.61024129,156.528099,0.021687273,0.468565509,0.470053804,20.14645769,0.876086926,0.774991732,0.386356867,0.496851805,0.405150174,0.489307509,0.489110748,0.275936816,
40,281.5003119,28524.787,452.89128,499.67429,12918627,10.053989,717.16242,126.0996126,129.2999482,178.5438796,102.7139162,103.6438438,3.872630893,0.751990076,1.115433898,2.643470519,2.46402257,37.68755683,29.62706811,162.5438796,0.023825141,0.205277493,0.185107893,22.90041549,0.736367523,0.729760585,0.389139,0.55371887,0.500999196,0.479826278,0.465776542,0.363507057,
41,226.4369371,28299.35,329.77259,499.63506,9332349.9,1.4371614,881.37027,103.6737028,90.82487944,173.1691561,89.5707779,89.5820285,4.584848042,0.751970779,1.270193911,4.703236749,4.235363032,35.33555442,40.96991308,157.1691561,0.029171424,0.320548069,0.404756095,19.08953163,0.791231586,0.791132216,0.419122483,0.538082612,0.608677283,0.485131738,0.47164785,0.591302043,
42,292.4990584,27770.195,469.83601,499.66405,13047438,14.598349,691.87053,122.0850487,132.4553902,174.9501252,104.0194052,109.6485233,3.38821224,0.635777835,0.954725556,2.391925748,2.022032538,34.91764098,31.59052196,158.9501252,0.021316197,0.215199618,0.148535861,27.58827795,0.749735906,0.711246086,0.393045216,0.540596436,0.522589175,0.478763569,0.448211161,0.395055779,
43,191.7148945,28556.957,263.41895,499.60393,7522443.5,0.33053284,1025.9373,86.52512653,83.93407076,182.6478139,71.664332,76.17416377,3.982842498,0.982449485,1.157341915,3.600310517,4.557984798,35.54893158,18.85414957,166.6478139,0.023899758,0.468077695,0.484006483,18.66464145,0.794660884,0.747613608,0.394388576,0.521550463,0.37454975,0.442849898,0.495987277,0.266050884,
44,258.1143661,29354.432,399.29373,499.68196,11721041,5.2007146,780.77703,118.5003107,119.165721,179.8657362,93.63101757,99.70462342,4.600088471,0.87852116,1.13966342,3.521683883,3.530627944,38.88114233,34.08844397,163.8657362,0.028072302,0.255958128,0.251780138,19.78292397,0.772561597,0.725500242,0.393021881,0.501750693,0.514074922,0.506232565,0.484494506,0.418160711,
45,239.2206402,28606.664,363.68433,499.64043,10403796,2.0989487,835.69285,109.0005412,101.1823351,174.6178397,94.54480339,94.93065637,2.288939321,0.434201723,0.423544117,1.185771571,2.720510611,43.08898708,16.13903888,158.6178397,0.014430529,0.302748622,0.352759887,21.21955783,0.793666101,0.790440184,0.279203269,0.583158352,0.320582444,0.6826943,0.558553872,0.217370583,
46,201.4407707,28744.575,280.96013,499.65131,8076079.5,0.49524269,980.84701,95.4226324,82.96858058,180.93072,70.27959861,84.5047017,5.037397147,0.855147943,0.967271202,5.564092974,7.314881671,38.64374252,22.9743909,164.93072,0.030542504,0.403210649,0.481100404,10.59550592,0.839002962,0.697769358,0.374427866,0.439864962,0.546615258,0.563461354,0.518655549,0.3282029,
47,279.2781611,26636.428,460.82023,499.66486,12274605,7.5583999,710.57923,122.8104439,127.5354127,170.8120259,105.7783275,105.0930746,3.848804683,0.730015981,1.25834838,2.636933707,2.239298002,34.55839344,29.54721964,154.8120259,0.024861148,0.186487657,0.155188849,24.20733569,0.752605031,0.757512346,0.399945792,0.613468855,0.525752158,0.467054864,0.451708649,0.383936952,
48,271.2022032,29299.632,420.84989,499.66876,12330747,9.1025275,748.08879,123.6164224,117.5963936,179.4487661,93.25240274,105.881521,4.106535831,0.801534928,1.133021666,2.962310554,3.043188337,37.90677901,29.78659972,163.4487661,0.0251243,0.224208032,0.26198853,23.96935843,0.780830832,0.687696498,0.404883953,0.530774357,0.517923156,0.480180382,0.471269512,0.366668288,
49,209.8898794,27537.198,303.97837,499.61108,8370712.6,0.3850625,940.06194,92.46462347,94.66366332,172.1566429,85.3792267,84.45144949,4.253966961,0.82188419,1.086032477,4.106251066,3.892797184,33.86415013,24.2799585,156.1566429,0.027241665,0.391290358,0.376813722,20.56255272,0.804721502,0.813562111,0.387190479,0.498848935,0.501009997,0.488224313,0.477806456,0.338407246,
50,244.1547209,29317.333,368.6011,499.67679,10806401,4.8385509,822.7555,109.6826742,112.0136024,179.0749268,86.28440619,99.12467527,4.401731771,0.899941624,1.203714532,3.503512993,3.564251068,36.66414685,30.51981396,163.0749268,0.026992082,0.308751083,0.294060964,20.12751621,0.811982458,0.706801047,0.404426754,0.528608726,0.494465398,0.482672457,0.473251264,0.377875414,
51,284.4347391,28657.914,460.28078,499.69066,13190687,11.347354,711.28881,128.1401229,130.5006767,179.5419096,103.4989392,104.1476905,3.377004959,0.663056609,0.967119246,2.448510564,2.150051697,36.246797,30.11286252,163.5419096,0.020649172,0.199948808,0.185210537,23.43338572,0.732313435,0.727751747,0.422799199,0.550556922,0.535607974,0.479829043,0.442684926,0.365912506,
52,265.1064423,28553.427,420.25131,499.65786,11999615,5.2587872,757.07187,118.6782755,121.8021185,176.5864361,100.946784,99.66080592,3.811815719,0.642897641,1.230034613,2.999971768,2.211060686,37.43322821,32.73287867,160.5864361,0.023736847,0.243000715,0.223075022,21.50220537,0.751855029,0.761556627,0.368021661,0.549653934,0.541714038,0.412921608,0.47248331,0.41082035,
53,196.5209526,27816.277,266.35727,499.63977,7409067.4,0.3337082,1000.9764,85.83081257,83.13875404,176.6869287,75.81783729,76.12906609,7.6656904,1.956212304,1.402605919,9.600446923,8.195459442,31.43318604,22.77678205,160.6869287,0.04770575,0.439092158,0.45668487,24.85932745,0.774767933,0.771600547,0.586734878,0.344293245,0.565066554,0.46855798,0.453993389,0.336441074,
54,233.1747158,28880.503,346.85452,499.6491,10017333,1.6857835,854.59847,107.8824837,94.77119127,176.4646837,83.60036188,97.56459472,3.292834286,0.783800821,0.757872362,2.522157068,3.375658585,35.96299236,18.33075432,160.4646837,0.020520617,0.313601742,0.397021848,17.40974846,0.836836828,0.717061982,0.450129821,0.473624433,0.471191955,0.51404943,0.469594163,0.248956899,
55,253.2149764,27457.068,404.44117,499.60156,11104769,3.0329001,783.00814,114.4964588,116.8840719,171.4568993,97.54637176,101.1011713,3.771855343,0.844950303,1.058682443,2.612942771,2.571745691,35.54219072,31.06259534,155.4568993,0.02426303,0.245169755,0.229429159,19.44683255,0.798540218,0.770462894,0.433556397,0.540461506,0.483309426,0.480667006,0.468753751,0.403841578,
56,284.8847818,26225.018,469.33435,499.68816,12308302,8.4430307,696.42017,117.1485253,127.3118584,168.2176749,107.4728104,107.2743419,3.401137226,0.603893023,0.885443913,2.471824796,1.990797704,33.09128662,26.7901345,152.2176749,0.022343905,0.212799013,0.144504634,30.26106496,0.753106861,0.754500186,0.388717196,0.500470172,0.543225233,0.479813948,0.44548675,0.354163581,
57,214.5302214,27816.692,312.49375,499.60721,8692542.3,1.1180875,922.88056,93.40709273,97.21378926,172.8309756,82.88824422,89.81117823,3.981136587,0.802403647,1.040176441,3.627770603,3.530100522,33.6230041,28.45321082,156.8309756,0.025384887,0.388896362,0.36399155,20.10264284,0.837282297,0.772741889,0.394916847,0.495554084,0.489635856,0.472759363,0.476348277,0.38606197,
58,271.4634558,27377.906,443.94504,499.65001,12154285,5.7892057,733.80261,121.3901325,123.1034569,172.4484479,104.064654,103.8395146,3.099397986,0.60704661,0.783283073,2.129926516,2.100485535,36.6218097,29.135339,156.4484479,0.019810986,0.20840636,0.197233651,25.25654203,0.765034942,0.766693651,0.397696067,0.51447715,0.507514559,0.508780833,0.472053901,0.374341388,
59,191.2461404,26975.474,266.773,499.63268,7196327.9,0.20941486,1027.9724,85.35953414,83.50480287,172.6955948,79.09030424,77.68490932,3.669294131,0.743628924,1.105456906,4.096946321,3.611802019,36.39200941,18.77266872,156.6955948,0.023416703,0.442190435,0.454310779,20.52707213,0.812407604,0.827104841,0.412056332,0.543138826,0.508167577,0.44531242,0.530042988,0.278935695,
60,239.8597709,27338.616,374.89366,499.63542,10249074,2.0194833,825.60425,108.8270168,109.9605288,169.9359944,92.75176932,99.47806522,3.718350702,0.733012911,1.038710249,2.796364223,2.667368199,35.72571153,30.93563107,153.9359944,0.024155174,0.275537719,0.26799192,19.93871317,0.829468525,0.77338329,0.395561565,0.527721295,0.501635396,0.470654228,0.482912665,0.410050115,
