,random1,random2,random3_r,random3_l,random4,random5_r,random5_l,random6_r,random6_l,random7_r,random7_l,random8_r,random8_l,Req,Leq,R3_left,R3_right,cocave,concave_L,nose,r0_left,r0_right,r1_left,r1_right,r2_left,r2_right,Mode1_frequency,Mode1_R_divide_Q,Mode1_shunt_impedance,Mode1_Q-factor,Mode2_frequency,Mode2_R_divide_Q
0,179.0196563,0.306875347,0.727177032,0.737306446,111.517782,0.506462504,0.468201548,0.371442246,0.695878224,0.426184909,0.529897669,0.320628931,0.517691139,195.0196563,179.2231323,32.59578776,33.85267516,45.38489821,41.95627398,54.93671905,17.97166727,11.70916649,133.3113015,98.65277177,15.7904209,10.0554942,499.66364,185.35278,4970813.2,26818.121,899.07104,2.69E-07
1,182.4058981,0.139877852,0.45482399,0.53274287,109.5506736,0.386147845,0.577715715,0.595055568,0.675881483,0.372011083,0.766891333,0.44053711,0.390371222,198.4058981,280.6174774,73.30860328,85.53340188,54.17991707,81.05856335,25.51454517,4.019914347,9.534487056,48.28210953,28.19724482,23.85743434,32.9008583,499.62703,298.32483,10413159,34905.44,758.83074,28.692133
2,146.0715667,0.294966105,0.702673201,0.242273826,21.42243093,0.742042504,0.702212575,0.541478912,0.465051325,0.419975307,0.451745267,0.459048366,0.154692528,162.0715667,177.4919056,78.03473735,30.62032099,65.85326907,62.31852406,43.08616104,10.98553157,13.53211969,28.75888763,46.76982908,8.138206869,11.86844124,499.62776,172.27203,3700540.6,21480.798,1065.2876,1.70E-05
3,180.4938544,0.207041386,0.57828143,0.466221421,85.99309994,0.463182965,0.52970659,0.515821072,0.424746463,0.400450291,0.601970142,0.381516781,0.383041909,196.4938544,238.7863179,76.39660898,60.35811472,55.30087739,63.24334304,37.36969779,6.31778742,11.55696671,56.43619702,49.33322991,24.50934351,20.53291464,499.63105,262.5814,8549739.7,32560.34,846.20078,7.2363158
4,187.154377,0.341390086,0.603338482,0.427589704,111.2857239,0.292251101,0.482568385,0.35577544,0.445171189,0.177311311,0.543167268,0.334638107,0.527649615,203.154377,252.3982885,70.55628227,48.89318414,36.88183888,60.89971718,63.89264891,12.99376945,18.70089472,75.93124672,48.34205579,29.90260307,15.1820101,499.69031,244.85717,8190075.8,33448.38,815.1332,14.344022
5,182.2697469,0.43655564,0.537184827,0.404210244,56.85934912,0.41459843,0.528567763,0.377426455,0.287580741,0.341668543,0.675258384,0.443111069,0.492528795,198.2697469,179.2332077,61.18692928,47.53059106,37.15490324,47.3684478,79.57088605,7.431080055,19.77111397,118.5319057,89.03648638,24.2724379,18.75645605,499.6236,184.34086,5050864,27399.589,893.96849,4.83E-07
6,184.76728,0.659352453,0.076052587,0.389003141,95.54153396,0.624532988,0.171271036,0.837834332,0.13786649,0.79119572,0.065401507,0.035897301,0.435992785,200.76728,211.8489966,38.45646047,58.15373131,66.15334344,18.14179855,121.8267593,15.69735527,21.31278677,24.13639165,103.6154159,14.70126414,1.117846641,499.70926,202.50741,5718564.6,28238.792,841.76861,1.10E-06
7,178.5278552,0.154639558,0.747706624,0.543622697,98.51948843,0.299481097,0.678016615,0.449976562,0.636821476,0.371386753,0.73821192,0.238168997,0.33477766,194.5278552,236.2727665,68.87663903,38.07621381,35.37961371,80.09843066,27.60746863,4.602503804,7.809082463,50.0491211,66.97434362,19.19676123,8.748881313,499.58974,260.86047,8320053,31894.649,850.16126,11.12498
8,187.5873429,0.615836565,0.296429722,0.589003897,150.2229303,0.419556083,0.32685402,0.467470354,0.494485118,0.093174108,0.642385282,0.323944263,0.492734057,203.5873429,251.6273859,29.61810459,50.70222783,52.7859002,41.12271127,115.5231448,20.42855336,48.9719039,183.2499352,15.96777477,12.16886718,11.09861392,499.58551,207.21275,5861798.9,28288.794,815.03844,8.02E-07
9,181.0171422,0.137063377,0.486708597,0.370722003,106.1188474,0.44585836,0.541811143,0.371475187,0.638954991,0.347286078,0.563703304,0.468424291,0.348869138,197.0171422,302.7132494,98.29720097,80.17936178,67.48361652,82.00670587,24.81082082,6.916610558,6.015805944,26.99768362,22.68706306,26.30562627,31.86677473,499.58476,324.57755,11470799,35340.705,711.73953,31.547204
10,180.1196736,0.132881714,0.569073551,0.366864802,101.1734851,0.470954449,0.528029392,0.483872008,0.421022375,0.376328709,0.504383518,0.517563421,0.28488366,196.1196736,298.9460063,98.88626058,67.30427436,70.39497586,78.92613893,23.93461098,4.994330631,7.222917009,23.68229158,25.88009488,21.74795698,30.1902857,499.71623,321.5698,11242590,34961.586,715.19073,27.534369
11,172.6893953,0.385940176,0.878410733,0.475117038,96.46583746,0.838995301,0.205103785,0.940191744,0.410120717,0.417287098,0.619562573,0.521881134,0.244792354,188.6893953,207.7847163,55.65943944,12.89352277,87.16520029,21.30871585,66.64777561,10.39873722,36.51377429,203.6363496,70.42344081,12.85049247,5.650226238,499.56897,178.90185,4165757.2,23285.154,842.20599,2.57E-06
12,196.1487659,0.464404059,0.361102175,0.658543323,166.4331182,0.171889904,0.391479021,0.085358228,0.933031466,0.240483945,0.761292716,0.081242663,0.441276608,212.1487659,300.6738351,35.87223749,67.12035845,25.84139838,58.85374926,91.09228302,20.28820149,5.905598784,188.5470695,71.07051802,13.54039805,4.847619069,499.55916,235.25265,8430067.1,35834.1,719.85843,2.05E-07
13,183.1057251,0.190240884,0.443454321,0.508124895,94.7617264,0.399675612,0.549964624,0.50970895,0.746508289,0.382879081,0.582410719,0.397516076,0.474433266,199.1057251,259.8014853,72.93107446,82.51987945,51.91815883,71.44081311,34.83419494,10.85899803,10.95716763,50.87999217,38.41278768,28.97724362,28.44529011,499.75295,278.0671,9503097.5,34175.556,800.10935,17.375422
14,180.3628519,0.150701311,0.371348704,0.497254027,109.2486163,0.434691961,0.543211639,0.535072191,0.662491305,0.423719021,0.542258526,0.399126169,0.423400176,196.3628519,301.8446585,77.01160035,96.29802112,65.60472326,81.98276583,27.18091824,8.242606558,8.381288498,33.8129879,25.2296479,26.59688865,30.88405853,499.77558,313.15155,10939898,34934.835,717.94553,35.224254
15,164.4125555,0.151225639,0.596960335,0.700303652,126.9982191,0.406756612,0.777290557,0.232146891,0.842147662,0.239848497,0.194143995,0.323943492,0.35267375,180.4125555,239.4859139,41.82237409,56.24384736,48.70623943,93.07506972,24.86339372,16.87353594,4.387563735,12.06751444,22.01471768,12.34149494,16.56432279,499.52106,251.95742,7095029.5,28159.637,851.61728,15.741876
16,180.6972162,0.174039552,0.53729372,0.429697231,83.66907491,0.45745449,0.556242076,0.460283613,0.607794333,0.361314027,0.697435353,0.352725978,0.323346767,196.6972162,253.90303,85.11697755,69.05833564,58.0745406,70.61577427,31.44846249,5.783280345,9.245114826,49.54784488,35.062237,22.33980521,21.44024716,499.51483,283.7915,9516237.6,33532.497,807.35679,10.922935
17,180.24994,0.132438744,0.438324069,0.489087475,122.9361426,0.468296592,0.531432677,0.540856659,0.637910211,0.452928799,0.51662884,0.386828984,0.418338518,196.24994,298.6035077,79.89540949,87.83368255,69.91750254,79.34383071,23.87207574,7.360892449,7.063439309,29.01812856,25.741519,27.47708567,28.03117944,499.4981,319.3201,11234085,35181.265,718.4827,28.955675
18,183.7985325,0.586703551,0.547983152,0.298178629,100.1732713,0.346271395,0.511251836,0.260594375,0.652868699,0.401493739,0.600540512,0.279394566,0.256050254,199.7985325,206.7985791,53.31265389,34.33668274,35.80421626,52.86307664,107.8352517,28.12285092,16.81878003,98.20171396,116.7296737,9.339267405,8.189018993,499.49525,193.70606,5338266.5,27558.593,858.04086,7.92E-06
19,168.4136376,0.310384106,0.725821584,0.697396566,99.48962751,0.548095956,0.612578255,0.772678242,0.404322407,0.740223633,0.333751609,0.572463928,0.321300558,184.4136376,169.7787896,35.14458103,31.84327893,46.52753403,52.00139734,52.27291634,14.08123395,10.49240517,59.46585876,150.1778994,10.12995911,16.69894974,499.47702,168.78174,4099928.5,24291.304,941.20235,5.36E-06
20,176.1225643,0.621558692,0.602808165,0.17376398,68.42062232,0.47373613,0.552865675,0.224775804,0.779996817,0.356329382,0.598708436,0.402155302,0.056916062,192.1225643,178.5612774,55.07032754,26.47365149,42.29546425,49.36020059,109.4705107,34.26494225,15.83836653,82.6992284,90.85718878,1.908991848,8.725407503,499.83457,159.05425,3710697.7,23329.762,875.34353,1.92E-06
